name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
spcfrcii;Special Forces II;1985;Senko Industries (Magic Eletronics Inc. licence);NO;-;YES;-;-;
8ballact;Eight Ball Action (DK conversion);1984;Seatongrove Ltd (Magic Eletronics USA licence);NO;-;YES;-;-;
8ballat2;Eight Ball Action (DKJr conversion);1984;Seatongrove Ltd (Magic Eletronics USA licence);YES;8ballact;NO;8ballact;-;
shootgal;Shooting Gallery;1984;Seatongrove Ltd (Zaccaria licence);NO;-;YES;-;-;
drakton;Drakton;198?;Epos Corporation;NO;-;YES;-;dkong;
strtheat;Street Heat - Cardinal Amusements;1985;Epos Corporation;NO;-;YES;-;dkongjr;
hunchbkd;Hunchback (DK conversion);1983;Century Electronics;YES;hunchbak;NO;hunchbak;-;
sbdk;Super Bike (DK conversion);1984;Century Electronics;YES;superbik;NO;superbik;-;
herbiedk;Herbie at the Olympics (DK conversion);1984;CVS;YES;huncholy;NO;huncholy;-;
herodk;Hero in the Castle of Doom (DK conversion);1984;Seatongrove Ltd (Crown license);YES;hero;NO;hero;-;
herodku;Hero in the Castle of Doom (DK conversion not encrypted);1984;Seatongrove Ltd (Crown license);YES;hero;NO;hero;-;
skyskipr;Sky Skipper;1981;Nintendo;NO;-;YES;-;-;
popeye;Popeye (revision D);1982;Nintendo;NO;-;YES;-;-;
popeyeu;Popeye (revision D not protected);1982;Nintendo;YES;popeye;NO;popeye;-;
popeyef;Popeye (revision F);1982;Nintendo;YES;popeye;NO;popeye;-;
popeyebl;Popeye (bootleg);1982;bootleg;YES;popeye;NO;popeye;-;
punchout;Punch-Out!!;1984;Nintendo;NO;-;YES;-;-;
spnchout;Super Punch-Out!!;1984;Nintendo;NO;-;YES;-;-;
spnchotj;Super Punch-Out!! (Japan);1984;Nintendo;YES;spnchout;NO;spnchout;-;
armwrest;Arm Wrestling;1985;Nintendo;NO;-;YES;-;-;
pc_tenis;PlayChoice-10 - Tennis;1983;Nintendo;NO;playch10;YES;-;-;
pc_mario;PlayChoice-10 - Mario Bros.;1983;Nintendo;NO;playch10;YES;-;-;
pc_bball;PlayChoice-10 - Baseball;1984;Nintendo of America;NO;playch10;YES;-;-;
pc_bfght;PlayChoice-10 - Balloon Fight;1984;Nintendo;NO;playch10;YES;-;-;
pc_ebike;PlayChoice-10 - Excite Bike;1984;Nintendo;NO;playch10;YES;-;-;
pc_golf;PlayChoice-10 - Golf;1984;Nintendo;NO;playch10;YES;-;-;
pc_kngfu;PlayChoice-10 - Kung Fu;1984;Irem (Nintendo license);NO;playch10;YES;-;-;
pc_1942;PlayChoice-10 - 1942;1987;Capcom;NO;playch10;YES;-;-;
pc_smb;PlayChoice-10 - Super Mario Bros.;1985;Nintendo;NO;playch10;YES;-;-;
pc_vball;PlayChoice-10 - Volley Ball;1986;Nintendo;NO;playch10;YES;-;-;
pc_duckh;PlayChoice-10 - Duck Hunt;1984;Nintendo;NO;playch10;YES;-;-;
pc_hgaly;PlayChoice-10 - Hogan's Alley;1984;Nintendo;NO;playch10;YES;-;-;
pc_wgnmn;PlayChoice-10 - Wild Gunman;1984;Nintendo;NO;playch10;YES;-;-;
pc_grdus;PlayChoice-10 - Gradius;1986;Konami;NO;playch10;YES;-;-;
pc_grdue;PlayChoice-10 - Gradius (older);1986;Konami;YES;pc_grdus;NO;pc_grdus;-;
pc_tkfld;PlayChoice-10 - Track and Field;1987;Konami (Nintendo of America license);NO;playch10;YES;-;-;
pc_pwrst;PlayChoice-10 - Pro Wrestling;1986;Nintendo;NO;playch10;YES;-;-;
pc_trjan;PlayChoice-10 - Trojan;1986;Capcom USA (Nintendo of America license);NO;playch10;YES;-;-;
pc_cvnia;PlayChoice-10 - Castlevania;1987;Konami (Nintendo of America license);NO;playch10;YES;-;-;
pc_dbldr;PlayChoice-10 - Double Dribble;1987;Konami (Nintendo of America license);NO;playch10;YES;-;-;
pc_rnatk;PlayChoice-10 - Rush N' Attack;1987;Konami (Nintendo of America license);NO;playch10;YES;-;-;
pc_rygar;PlayChoice-10 - Rygar;1987;Tecmo (Nintendo of America license);NO;playch10;YES;-;-;
pc_cntra;PlayChoice-10 - Contra;1988;Konami (Nintendo of America license);NO;playch10;YES;-;-;
pc_goons;PlayChoice-10 - The Goonies;1986;Konami;NO;playch10;YES;-;-;
pc_mtoid;PlayChoice-10 - Metroid;1986;Nintendo;NO;playch10;YES;-;-;
pc_radrc;PlayChoice-10 - Rad Racer;1987;Square;NO;playch10;YES;-;-;
pc_miket;PlayChoice-10 - Mike Tyson's Punchout;1987;Nintendo;NO;playch10;YES;-;-;
pc_rcpam;PlayChoice-10 - RC Pro Am;1987;Rare;NO;playch10;YES;-;-;
pc_ngaid;PlayChoice-10 - Ninja Gaiden;1989;Tecmo (Nintendo of America license);NO;playch10;YES;-;-;
pc_tmnt;PlayChoice-10 - Teenage Mutant Ninja Turtles;1989;Konami (Nintendo of America license);NO;playch10;YES;-;-;
pc_ftqst;PlayChoice-10 - Uncle Fester's Quest - The Addams Family;1989;Sunsoft (Nintendo of America license);NO;playch10;YES;-;-;
pc_bstar;PlayChoice-10 - Baseball Stars;1989;SNK (Nintendo of America license);NO;playch10;YES;-;-;
pc_tbowl;PlayChoice-10 - Tecmo Bowl;1989;Tecmo (Nintendo of America license);NO;playch10;YES;-;-;
pc_drmro;PlayChoice-10 - Dr. Mario;1990;Nintendo;NO;playch10;YES;-;-;
pc_ynoid;PlayChoice-10 - Yo! Noid;1990;Capcom USA (Nintendo of America license);NO;playch10;YES;-;-;
pc_rrngr;PlayChoice-10 - Chip'n Dale - Rescue Rangers;1987;Capcom USA (Nintendo of America license);NO;playch10;YES;-;-;
pc_ddrgn;PlayChoice-10 - Double Dragon;1988;Technos;NO;playch10;YES;-;-;
pc_gntlt;PlayChoice-10 - Gauntlet;1985;Atari/Tengen (Nintendo of America license);NO;playch10;YES;-;-;
pc_smb2;PlayChoice-10 - Super Mario Bros. 2;1988;Nintendo;NO;playch10;YES;-;-;
pc_smb3;PlayChoice-10 - Super Mario Bros. 3;1988;Nintendo;NO;playch10;YES;-;-;
pc_mman3;PlayChoice-10 - Mega Man 3;1990;Capcom USA (Nintendo of America license);NO;playch10;YES;-;-;
pc_radr2;PlayChoice-10 - Rad Racer II;1990;Square (Nintendo of America license);NO;playch10;YES;-;-;
pc_suprc;PlayChoice-10 - Super C;1990;Konami (Nintendo of America license);NO;playch10;YES;-;-;
pc_tmnt2;PlayChoice-10 - Teenage Mutant Ninja Turtles II;1990;Konami (Nintendo of America license);NO;playch10;YES;-;-;
pc_wcup;PlayChoice-10 - Nintendo World Cup;1990;Technos (Nintendo license);NO;playch10;YES;-;-;
pc_ngai2;PlayChoice-10 - Ninja Gaiden 2;1990;Tecmo (Nintendo of America license);NO;playch10;YES;-;-;
pc_ngai3;PlayChoice-10 - Ninja Gaiden 3;1991;Tecmo (Nintendo of America license);NO;playch10;YES;-;-;
pc_pwbld;PlayChoice-10 - Power Blade;1991;Taito (Nintendo of America license);NO;playch10;YES;-;-;
pc_rkats;PlayChoice-10 - Rockin' Kats;1991;Atlus (Nintendo of America license);NO;playch10;YES;-;-;
pc_pinbt;PlayChoice-10 - PinBot;1988;Rare (Nintendo of America license);NO;playch10;YES;-;-;
pc_cshwk;PlayChoice-10 - Captain Sky Hawk;1989;Rare (Nintendo of America license);NO;playch10;YES;-;-;
pc_sjetm;PlayChoice-10 - Solar Jetman;1990;Rare;NO;playch10;YES;-;-;
pc_moglf;PlayChoice-10 - Mario's Open Golf;1991;Nintendo;NO;playch10;YES;-;-;
btlecity;Vs. Battle City;1985;Namco;NO;-;YES;-;-;
starlstr;Vs. Star Luster;1985;Namco;NO;-;YES;-;-;
cstlevna;Vs. Castlevania;1987;Konami;NO;-;YES;-;-;
cluclu;Vs. Clu Clu Land;1984;Nintendo;NO;-;YES;-;-;
drmario;Vs. Dr. Mario;1990;Nintendo;NO;-;YES;-;-;
duckhunt;Vs. Duck Hunt;1985;Nintendo;NO;-;YES;-;-;
excitebk;Vs. Excitebike;1984;Nintendo;NO;-;YES;-;-;
excitbkj;Vs. Excitebike (Japan);1984;Nintendo;YES;excitebk;NO;excitebk;-;
goonies;Vs. The Goonies;1986;Konami;NO;-;YES;-;-;
hogalley;Vs. Hogan's Alley;1985;Nintendo;NO;-;YES;-;-;
iceclimb;Vs. Ice Climber;1984;Nintendo;NO;-;YES;-;-;
iceclmbj;Vs. Ice Climber (Japan);1984;Nintendo;YES;iceclimb;NO;iceclimb;-;
ladygolf;Vs. Stroke and Match Golf (Ladies Version);1984;Nintendo;NO;-;YES;-;-;
machridr;Vs. Mach Rider (Endurance Course Version);1985;Nintendo;NO;-;YES;-;-;
machridj;Vs. Mach Rider (Japan, Fighting Course Version);1985;Nintendo;YES;machridr;NO;machridr;-;
rbibb;Vs. Atari R.B.I. Baseball (set 1);1986;Namco;NO;-;YES;-;-;
rbibba;Vs. Atari R.B.I. Baseball (set 2);1986;Namco;YES;rbibb;NO;rbibb;-;
suprmrio;Vs. Super Mario Bros.;1986;Nintendo;NO;-;YES;-;-;
vsskykid;Vs. Super SkyKid;1985;Namco;NO;-;YES;-;-;
tkoboxng;Vs. TKO Boxing;1987;Namco LTD.;NO;-;YES;-;-;
smgolf;Vs. Stroke and Match Golf (Men Version);1984;Nintendo;NO;-;YES;-;-;
smgolfj;Vs. Stroke and Match Golf (Men Version) (Japan);1984;Nintendo;YES;smgolf;NO;smgolf;-;
vspinbal;Vs. Pinball;1984;Nintendo;NO;-;YES;-;-;
vspinblj;Vs. Pinball (Japan);1984;Nintendo;YES;vspinbal;NO;vspinbal;-;
vsslalom;Vs. Slalom;1986;Rare LTD.;NO;-;YES;-;-;
vssoccer;Vs. Soccer;1985;Nintendo;NO;-;YES;-;-;
vsgradus;Vs. Gradius;1986;Konami;NO;-;YES;-;-;
platoon;Vs. Platoon;1987;Ocean Software Limited;NO;-;YES;-;-;
vstetris;Vs. Tetris;1987;Academysoft-Elory;NO;-;YES;-;-;
mightybj;Vs. Mighty Bomb Jack (Japan);1986;Tecmo;NO;-;YES;-;-;
jajamaru;Vs. Ninja Jajamaru Kun (Japan);1985;Jaleco;NO;-;YES;-;-;
topgun;Vs. Top Gun;1987;Konami;NO;-;YES;-;-;
bnglngby;Vs. Raid on Bungeling Bay (Japan);1985;Nintendo / Broderbund Software Inc.;NO;-;YES;-;-;
vstennis;Vs. Tennis;1984;Nintendo;NO;-;YES;-;-;
wrecking;Vs. Wrecking Crew;1984;Nintendo;NO;-;YES;-;-;
balonfgt;Vs. Balloon Fight;1984;Nintendo;NO;-;YES;-;-;
vsmahjng;Vs. Mahjang (Japan);1984;Nintendo;NO;-;YES;-;-;
vsbball;Vs. BaseBall;1984;Nintendo of America;NO;-;YES;-;-;
vsbballj;Vs. BaseBall (Japan set 1);1984;Nintendo of America;YES;vsbball;NO;vsbball;-;
vsbbalja;Vs. BaseBall (Japan set 2);1984;Nintendo of America;YES;vsbball;NO;vsbball;-;
iceclmrj;Vs. Ice Climber Dual (Japan);1984;Nintendo;NO;-;YES;-;-;
vsgshoe;Vs. Gumshoe;1986;Nintendo;NO;-;YES;-;-;
supxevs;Vs. Super Xevious;1986;Namco;NO;-;YES;-;-;
vsfdf;Vs. Freedom Force;1988;Konami;NO;-;YES;-;-;
smgolfb;Vs. Stroke and Match Golf (Men set 2);1985;Nintendo;YES;smgolf;NO;smgolf;-;
vsbbaljb;Vs. BaseBall (Japan set 3);1984;Nintendo of America;YES;vsbball;NO;vsbball;-;
nss_ssoc;Nintendo Super System - Super Soccer;1992;Human Inc.;NO;nss;YES;-;-;
nss_actr;Nintendo Super System - Act Raiser;1992;Enix;NO;nss;YES;-;-;
nss_con3;Nintendo Super System - Contra 3 - The Alien Wars;1992;Konami;NO;nss;YES;-;-;
nss_adam;Nintendo Super System - The Addams Family;1992;Ocean;NO;nss;YES;-;-;
nss_aten;Nintendo Super System - David Crane's Amazing Tennis;1992;Absolute Entertainment Inc.;NO;nss;YES;-;-;
nss_rob3;Nintendo Super System - Robocop 3;1992;Ocean;NO;nss;YES;-;-;
nss_ncaa;Nintendo Super System - NCAA Basketball;1992;Sculptured Software Inc.;NO;nss;YES;-;-;
nss_skin;Nintendo Super System - Skins Game;1992;Irem;NO;nss;YES;-;-;
nss_lwep;Nintendo Super System - Lethal Weapon;1992;Ocean;NO;nss;YES;-;-;
nss_smw;Nintendo Super System - Super Mario World;199?;Nintendo;NO;nss;YES;-;-;
nss_fzer;Nintendo Super System - F-Zero;199?;Nintendo;NO;nss;YES;-;-;
nss_sten;Nintendo Super System - Super Tennis;199?;Nintendo;NO;nss;YES;-;-;
seawolf;Sea Wolf;1976;Midway;NO;-;YES;-;-;
gunfight;Gun Fight;1975;Midway;NO;-;YES;-;-;
tornbase;Tornado Baseball;1976;Midway;NO;-;YES;-;-;
280zzzap;Datsun 280 Zzzap;1976;Midway;NO;-;YES;-;-;
maze;Amazing Maze;1976;Midway;NO;-;YES;-;-;
boothill;Boot Hill;1977;Midway;NO;-;YES;-;-;
checkmat;Checkmate;1977;Midway;NO;-;YES;-;-;
desertgu;Desert Gun;1977;Midway;NO;-;YES;-;-;
dplay;Double Play;1977;Midway;YES;einnings;NO;einnings;-;
lagunar;Laguna Racer;1977;Midway;NO;-;YES;-;-;
gmissile;Guided Missile;1977;Midway;NO;-;YES;-;-;
m4;M-4;1977;Midway;NO;-;YES;-;-;
clowns;Clowns (rev. 2);1978;Midway;NO;-;YES;-;circus;
clowns1;Clowns (rev. 1);1978;Midway;YES;clowns;NO;clowns;circus;
einnings;Extra Inning;1978;Midway;NO;-;YES;-;-;
shuffle;Shuffleboard;1978;Midway;NO;-;YES;-;-;
dogpatch;Dog Patch;1977;Midway;NO;-;YES;-;circus;
spcenctr;Space Encounters;1980;Midway;NO;-;YES;-;-;
phantom2;Phantom II;1979;Midway;NO;-;YES;-;-;
bowler;4 Player Bowling Alley;1978;Midway;NO;-;YES;-;-;
invaders;Space Invaders;1978;Midway;NO;-;YES;-;-;
blueshrk;Blue Shark;1978;Midway;NO;-;YES;-;-;
invad2ct;Space Invaders II (Midway, cocktail);1980;Midway;NO;-;YES;-;invaders;
invadpt2;Space Invaders Part II (Taito);1979;Taito;NO;-;YES;-;invaders;
invaddlx;Space Invaders Deluxe;1980;Midway;YES;invadpt2;NO;invadpt2;invaders;
moonbase;Moon Base;1978;Nichibutsu;YES;invadpt2;NO;invadpt2;invaders;
indianbt;Indian Battle;1980;Taito;NO;-;YES;-;invaders;
earthinv;Super Earth Invasion;1980;bootleg;YES;invaders;NO;invaders;invaders;
spaceatt;Space Attack;1978;Video Games GMBH;YES;invaders;NO;invaders;invaders;
spaceat2;Space Attack II;1980;Zenitone-Microsec Ltd;YES;invaders;NO;invaders;invaders;
sinvzen;Super Invaders (Zenitone-Microsec);19??;Zenitone-Microsec Ltd;YES;invaders;NO;invaders;invaders;
superinv;Super Invaders;19??;bootleg;YES;invaders;NO;invaders;invaders;
sstrangr;Space Stranger;1978;Yachiyo Electronics, Ltd.;NO;-;YES;-;invaders;
sstrngr2;Space Stranger 2;1979;Yachiyo Electronics, Ltd.;NO;-;YES;-;invaders;
sinvemag;Super Invaders (EMAG);19??;bootleg;YES;invaders;NO;invaders;invaders;
jspecter;Jatre Specter (set 1);1979;Jatre;YES;invaders;NO;invaders;invaders;
jspectr2;Jatre Specter (set 2);1979;Jatre;YES;invaders;NO;invaders;invaders;
invrvnge;Invader's Revenge;19??;Zenitone Microsec Ltd.;NO;-;YES;-;invaders;
invrvnga;Invader's Revenge (Dutchford);19??;Zenitone Microsec Ltd. (Dutchford license);YES;invrvnge;NO;invrvnge;invaders;
galxwars;Galaxy Wars (Universal set 1);1979;Universal;NO;-;YES;-;invaders;
galxwar2;Galaxy Wars (Universal set 2);1979;Universal;YES;galxwars;NO;galxwars;invaders;
galxwart;Galaxy Wars (Taito[Q]);1979;Taito?;YES;galxwars;NO;galxwars;invaders;
starw;Star Wars;1979;bootleg;YES;galxwars;NO;galxwars;invaders;
lrescue;Lunar Rescue;1979;Taito;NO;-;YES;-;-;
grescue;Galaxy Rescue;1979;Taito (Universal license?);YES;lrescue;NO;lrescue;lrescue;
desterth;Destination Earth;1979;bootleg;YES;lrescue;NO;lrescue;lrescue;
cosmicmo;Cosmic Monsters;1979;Universal;NO;-;YES;-;invaders;
cosmicm2;Cosmic Monsters II;1979;Universal;NO;-;YES;-;invaders;
rollingc;Rolling Crash / Moon Base;1979;Nichibutsu;NO;-;YES;-;invaders;
ozmawars;Ozma Wars (set 1);1979;SNK;NO;-;YES;-;invaders;
ozmawar2;Ozma Wars (set 2);1979;SNK;YES;ozmawars;NO;ozmawars;invaders;
solfight;Solar Fight;1979;bootleg;YES;ozmawars;NO;ozmawars;invaders;
spaceph;Space Phantoms;1979;Zilec Games;YES;ozmawars;NO;ozmawars;invaders;
schaser;Space Chaser;1979;Taito;NO;-;YES;-;-;
schasrcv;Space Chaser (CV version);1979;Taito;YES;schaser;NO;schaser;invaders;
lupin3;Lupin III;1980;Taito;NO;-;YES;-;invaders;
spclaser;Space Laser;1980;GamePlan (Taito);NO;-;YES;-;invaders;
laser;Laser;1980;<unknown>;YES;spclaser;NO;spclaser;invaders;
spcewarl;Space War (Leijac);1979;Leijac (Konami);YES;spclaser;NO;spclaser;invaders;
polaris;Polaris (set 1);1980;Taito;NO;-;YES;-;-;
polarisa;Polaris (set 2);1980;Taito;YES;polaris;NO;polaris;-;
ballbomb;Balloon Bomber;1980;Taito;NO;-;YES;-;invaders;
steelwkr;Steel Worker;1980;Taito;NO;-;YES;-;invaders;
m79amb;M79 Ambush;1977;RamTek;NO;-;YES;-;-;
alieninv;Alien Invasion Part II;19??;bootleg;YES;invaders;NO;invaders;invaders;
tst_invd;Space Invaders Test ROM;19??;Test ROM;YES;invaders;NO;invaders;invaders;
sitv;Space Invaders (TV Version);1978;Taito;YES;invaders;NO;invaders;invaders;
sicv;Space Invaders (CV Version);1979;Taito;YES;invaders;NO;invaders;invaders;
sisv;Space Invaders (SV Version);1978;Taito;YES;invaders;NO;invaders;invaders;
sisv2;Space Invaders (SV Version 2);1978;Taito;YES;invaders;NO;invaders;invaders;
spacewr3;Space War Part 3;1978;bootleg;YES;invaders;NO;invaders;invaders;
invaderl;Space Invaders (Logitec);1978;bootleg;YES;invaders;NO;invaders;invaders;
yosakdoa;Yosaku To Donbei (set 2);1979;Worldwing;YES;yosakdon;NO;yosakdon;invaders;
yosakdon;Yosaku To Donbei (set 1);1979;Worldwing;NO;-;YES;-;invaders;
spceking;Space King;1978;Leijac (Konami);YES;invaders;NO;invaders;invaders;
spcewars;Space War (Sanritsu);1978;Sanritsu;YES;invaders;NO;invaders;invaders;
cosmo;Cosmo;1979;TDS & Mints;NO;-;YES;-;invaders;
astropal;Astropal;1980;Sidam;NO;-;YES;-;invaders;
invasion;Invasion (Sidam);1980;Sidam;NO;-;YES;-;invaders;
invasioa;Invasion (bootleg, set 1, normal graphics);1980;bootleg;YES;invasion;NO;invasion;invaders;
invasiob;Invasion (bootleg, set 2, no copyright);1980;bootleg;YES;invasion;NO;invasion;invaders;
galactic;Galactica - Batalha Espacial;1980;Taito do Brasil;NO;-;YES;-;invaders;
spacmiss;Space Missile - Space Fighting Game;1980;bootleg;YES;galactic;NO;galactic;invaders;
sspeedr;Super Speed Race;1979;Midway;NO;-;YES;-;-;
sflush;Straight Flush;1979;Taito;NO;-;YES;-;-;
lazercmd;Lazer Command;1976;Meadows Games, Inc.;NO;-;YES;-;-;
bbonk;Bigfoot Bonkers;1976;Meadows Games, Inc.;NO;-;YES;-;-;
deadeye;Dead Eye;1978;Meadows;NO;-;YES;-;-;
gypsyjug;Gypsy Juggler;1978;Meadows;NO;-;YES;-;-;
minferno;Inferno (S2650);1978;Meadows;NO;-;YES;-;-;
medlanes;Meadows Lanes;1977;Meadows Games, Inc.;NO;-;YES;-;-;
cosmos;Cosmos;1981;Century Electronics;NO;cvs;YES;-;-;
darkwar;Dark Warrior;1981;Century Electronics;NO;cvs;YES;-;-;
spacefrt;Space Fortress;1981;Century Electronics;NO;cvs;YES;-;-;
8ball;Video Eight Ball;1982;Century Electronics;NO;cvs;YES;-;-;
8ball1;Video Eight Ball (Rev.1);1982;Century Electronics;YES;8ball;NO;8ball;-;
logger;Logger;1982;Century Electronics;NO;cvs;YES;-;-;
dazzler;Dazzler;1982;Century Electronics;NO;cvs;YES;-;-;
wallst;Wall Street;1982;Century Electronics;NO;cvs;YES;-;-;
radarzon;Radar Zone;1982;Century Electronics;NO;cvs;YES;-;-;
radarzn1;Radar Zone (Rev.1);1982;Century Electronics;YES;radarzon;NO;radarzon;-;
radarznt;Radar Zone (Tuni);1982;Century Electronics (Tuni Electro Service Inc);YES;radarzon;NO;radarzon;-;
outline;Outline;1982;Century Electronics;YES;radarzon;NO;radarzon;-;
goldbug;Gold Bug;1982;Century Electronics;NO;cvs;YES;-;-;
diggerc;Digger (CVS);1982;Century Electronics;NO;cvs;YES;-;-;
heartatk;Heart Attack;1983;Century Electronics;NO;cvs;YES;-;-;
hunchbak;Hunchback;1983;Century Electronics;NO;cvs;YES;-;-;
superbik;Superbike;1983;Century Electronics;NO;cvs;YES;-;-;
hero;Hero;1983;Seatongrove Ltd;NO;cvs;YES;-;-;
huncholy;Hunchback Olympic;1984;Seatongrove Ltd;NO;cvs;YES;-;-;
seawolf2;Sea Wolf II;1978;Midway;NO;-;YES;-;seawolf;
spacezap;Space Zap;1980;Midway;NO;-;YES;-;-;
ebases;Extra Bases;1980;Midway;NO;-;YES;-;-;
wow;Wizard of Wor;1980;Midway;NO;-;YES;-;-;
gorf;Gorf;1981;Midway;NO;-;YES;-;-;
gorfpgm1;Gorf (Program 1);1981;Midway;YES;gorf;NO;gorf;gorf;
robby;Robby Roto;1981;Bally Midway;NO;-;YES;-;-;
profpac;Professor PacMan;1983;Bally Midway;NO;-;YES;-;-;
solarfox;Solar Fox;1981;Bally Midway;NO;-;YES;-;-;
kick;Kick (upright);1981;Midway;NO;-;YES;-;-;
kicka;Kick (cocktail);1981;Midway;YES;kick;NO;kick;-;
shollow;Satan's Hollow (set 1);1981;Bally Midway;NO;-;YES;-;-;
shollow2;Satan's Hollow (set 2);1981;Bally Midway;YES;shollow;NO;shollow;-;
tron;Tron (set 1);1982;Bally Midway;NO;-;YES;-;-;
tron2;Tron (set 2);1982;Bally Midway;YES;tron;NO;tron;-;
tronfp;Tron (freeplay);1982;Bally Midway;YES;tron;NO;tron;-;
kroozr;Kozmik Kroozr;1982;Bally Midway;NO;-;YES;-;-;
domino;Domino Man;1982;Bally Midway;NO;-;YES;-;-;
wacko;Wacko;1982;Bally Midway;NO;-;YES;-;-;
twotiger;Two Tigers;1984;Bally Midway;NO;-;YES;-;-;
twotigra;Two Tigers (dedicated);1984;Bally Midway;YES;twotiger;NO;twotiger;twotiger;
journey;Journey;1983;Bally Midway;NO;-;YES;-;-;
tapper;Tapper (Budweiser);1983;Bally Midway;NO;-;YES;-;-;
tappera;Tapper (alternate);1983;Bally Midway;YES;tapper;NO;tapper;-;
sutapper;Tapper (Suntory);1983;Bally Midway;YES;tapper;NO;tapper;-;
rbtapper;Tapper (Root Beer);1984;Bally Midway;YES;tapper;NO;tapper;-;
timber;Timber;1984;Bally Midway;NO;-;YES;-;-;
dotron;Discs of Tron (Upright);1983;Bally Midway;NO;-;YES;-;-;
dotrona;Discs of Tron (Upright alternate);1983;Bally Midway;YES;dotron;NO;dotron;-;
dotrone;Discs of Tron (Environmental);1983;Bally Midway;YES;dotron;NO;dotron;-;
demoderb;Demolition Derby;1984;Bally Midway;NO;-;YES;-;-;
demoderm;Demolition Derby (2-Player Mono Board Version);1984;Bally Midway;YES;demoderb;NO;demoderb;-;
sarge;Sarge;1985;Bally Midway;NO;-;YES;-;-;
rampage;Rampage (revision 3);1986;Bally Midway;NO;-;YES;-;-;
rampage2;Rampage (revision 2);1986;Bally Midway;YES;rampage;NO;rampage;-;
powerdrv;Power Drive;1986;Bally Midway;NO;-;YES;-;-;
stargrds;Star Guards;1987;Bally Midway;NO;-;YES;-;-;
maxrpm;Max RPM;1986;Bally Midway;NO;-;YES;-;-;
spyhunt;Spy Hunter;1983;Bally Midway;NO;-;YES;-;-;
turbotag;Turbo Tag (prototype);1985;Bally Midway;NO;-;YES;-;-;
crater;Crater Raider;1984;Bally Midway;NO;-;YES;-;-;
zwackery;Zwackery;1984;Bally Midway;NO;-;YES;-;-;
xenophob;Xenophobe;1987;Bally Midway;NO;-;YES;-;-;
spyhunt2;Spy Hunter 2 (rev 2);1987;Bally Midway;NO;-;YES;-;-;
spyhnt2a;Spy Hunter 2 (rev 1);1987;Bally Midway;YES;spyhunt2;NO;spyhunt2;-;
blasted;Blasted;1988;Bally Midway;NO;-;YES;-;-;
archrivl;Arch Rivals (rev 4.0);1989;Bally Midway;NO;-;YES;-;-;
archriv2;Arch Rivals (rev 2.0);1989;Bally Midway;YES;archrivl;NO;archrivl;-;
trisport;Tri-Sports;1989;Bally Midway;NO;-;YES;-;-;
pigskin;Pigskin 621AD;1990;Midway;NO;-;YES;-;-;
sentetst;Sente Diagnostic Cartridge;1984;Bally/Sente;NO;-;YES;-;-;
cshift;Chicken Shift;1984;Bally/Sente;NO;-;YES;-;-;
gghost;Goalie Ghost;1984;Bally/Sente;NO;-;YES;-;-;
hattrick;Hat Trick;1984;Bally/Sente;NO;-;YES;-;-;
otwalls;Off the Wall (Sente);1984;Bally/Sente;NO;-;YES;-;-;
snakepit;Snake Pit;1984;Bally/Sente;NO;-;YES;-;-;
snakjack;Snacks'n Jaxson;1984;Bally/Sente;NO;-;YES;-;-;
stocker;Stocker;1984;Bally/Sente;NO;-;YES;-;-;
triviag1;Trivial Pursuit (Genus I);1984;Bally/Sente;NO;-;YES;-;-;
triviag2;Trivial Pursuit (Genus II);1984;Bally/Sente;NO;-;YES;-;-;
triviasp;Trivial Pursuit (All Star Sports Edition);1984;Bally/Sente;NO;-;YES;-;-;
triviayp;Trivial Pursuit (Young Players Edition);1984;Bally/Sente;NO;-;YES;-;-;
triviabb;Trivial Pursuit (Baby Boomer Edition);1984;Bally/Sente;NO;-;YES;-;-;
gimeabrk;Gimme A Break;1985;Bally/Sente;NO;-;YES;-;-;
minigolf;Mini Golf (set 1);1985;Bally/Sente;NO;-;YES;-;-;
minigol2;Mini Golf (set 2);1985;Bally/Sente;YES;minigolf;NO;minigolf;-;
toggle;Toggle (prototype);1985;Bally/Sente;NO;-;YES;-;-;
nametune;Name That Tune;1986;Bally/Sente;NO;-;YES;-;-;
nstocker;Night Stocker;1986;Bally/Sente;NO;-;YES;-;-;
sfootbal;Street Football;1986;Bally/Sente;NO;-;YES;-;-;
spiker;Spiker;1986;Bally/Sente;NO;-;YES;-;-;
stompin;Stompin';1986;Bally/Sente;NO;-;YES;-;-;
rescraid;Rescue Raider;1987;Bally/Midway;NO;-;YES;-;-;
rescrdsa;Rescue Raider (Stand-Alone);1987;Bally/Midway;YES;rescraid;NO;rescraid;-;
grudge;Grudge Match (prototype);198?;Bally/Midway;NO;-;YES;-;-;
shrike;Shrike Avenger (prototype);1986;Bally/Sente;NO;-;YES;-;-;
gridlee;Gridlee;1983;Videa;NO;-;YES;-;-;
andromed;Andromeda (Japan[Q]);1979;Irem;NO;-;YES;-;-;
ipminvad;IPM Invader;1979?;Irem;NO;-;YES;-;-;
skychut;Sky Chuter;1980;Irem;NO;-;YES;-;-;
spacbeam;Space Beam;1979;Irem;NO;-;YES;-;-;
greenber;Green Beret (Irem);1980;Irem;NO;-;YES;-;-;
redalert;Red Alert;1981;Irem + GDI;NO;-;YES;-;-;
demoneye;Demoneye-X;1981;Irem;NO;-;YES;-;-;
