name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
pc_miket;-;PlayChoice-10 - Mike Tyson's Punchout;YES;NO;Nintendo;playch10;-;1987;
pc_rcpam;-;PlayChoice-10 - RC Pro Am;YES;NO;Rare;playch10;-;1987;
pc_ngaid;-;PlayChoice-10 - Ninja Gaiden;YES;NO;Tecmo (Nintendo of America license);playch10;-;1989;
pc_tmnt;-;PlayChoice-10 - Teenage Mutant Ninja Turtles;YES;NO;Konami (Nintendo of America license);playch10;-;1989;
pc_ftqst;-;PlayChoice-10 - Uncle Fester's Quest - The Addams Family;YES;NO;Sunsoft (Nintendo of America license);playch10;-;1989;
pc_bstar;-;PlayChoice-10 - Baseball Stars;YES;NO;SNK (Nintendo of America license);playch10;-;1989;
pc_tbowl;-;PlayChoice-10 - Tecmo Bowl;YES;NO;Tecmo (Nintendo of America license);playch10;-;1989;
pc_drmro;-;PlayChoice-10 - Dr. Mario;YES;NO;Nintendo;playch10;-;1990;
pc_ynoid;-;PlayChoice-10 - Yo! Noid;YES;NO;Capcom USA (Nintendo of America license);playch10;-;1990;
pc_rrngr;-;PlayChoice-10 - Chip'n Dale - Rescue Rangers;YES;NO;Capcom USA (Nintendo of America license);playch10;-;1987;
pc_ddrgn;-;PlayChoice-10 - Double Dragon;YES;NO;Technos;playch10;-;1988;
pc_gntlt;-;PlayChoice-10 - Gauntlet;YES;NO;Atari/Tengen (Nintendo of America license);playch10;-;1985;
pc_smb2;-;PlayChoice-10 - Super Mario Bros. 2;YES;NO;Nintendo;playch10;-;1988;
pc_smb3;-;PlayChoice-10 - Super Mario Bros. 3;YES;NO;Nintendo;playch10;-;1988;
pc_mman3;-;PlayChoice-10 - Mega Man 3;YES;NO;Capcom USA (Nintendo of America license);playch10;-;1990;
pc_radr2;-;PlayChoice-10 - Rad Racer II;YES;NO;Square (Nintendo of America license);playch10;-;1990;
pc_suprc;-;PlayChoice-10 - Super C;YES;NO;Konami (Nintendo of America license);playch10;-;1990;
pc_tmnt2;-;PlayChoice-10 - Teenage Mutant Ninja Turtles II;YES;NO;Konami (Nintendo of America license);playch10;-;1990;
pc_wcup;-;PlayChoice-10 - Nintendo World Cup;YES;NO;Technos (Nintendo license);playch10;-;1990;
pc_ngai2;-;PlayChoice-10 - Ninja Gaiden 2;YES;NO;Tecmo (Nintendo of America license);playch10;-;1990;
pc_ngai3;-;PlayChoice-10 - Ninja Gaiden 3;YES;NO;Tecmo (Nintendo of America license);playch10;-;1991;
pc_pwbld;-;PlayChoice-10 - Power Blade;YES;NO;Taito (Nintendo of America license);playch10;-;1991;
pc_rkats;-;PlayChoice-10 - Rockin' Kats;YES;NO;Atlus (Nintendo of America license);playch10;-;1991;
pc_pinbt;-;PlayChoice-10 - PinBot;YES;NO;Rare (Nintendo of America license);playch10;-;1988;
pc_cshwk;-;PlayChoice-10 - Captain Sky Hawk;YES;NO;Rare (Nintendo of America license);playch10;-;1989;
pc_sjetm;-;PlayChoice-10 - Solar Jetman;YES;NO;Rare;playch10;-;1990;
pc_moglf;-;PlayChoice-10 - Mario's Open Golf;YES;NO;Nintendo;playch10;-;1991;
btlecity;-;Vs. Battle City;YES;NO;Namco;-;-;1985;
starlstr;-;Vs. Star Luster;YES;NO;Namco;-;-;1985;
cstlevna;-;Vs. Castlevania;YES;NO;Konami;-;-;1987;
cluclu;-;Vs. Clu Clu Land;YES;NO;Nintendo;-;-;1984;
drmario;-;Vs. Dr. Mario;YES;NO;Nintendo;-;-;1990;
duckhunt;-;Vs. Duck Hunt;YES;NO;Nintendo;-;-;1985;
excitebk;-;Vs. Excitebike;YES;NO;Nintendo;-;-;1984;
excitbkj;excitebk;Vs. Excitebike (Japan);NO;YES;Nintendo;excitebk;-;1984;
goonies;-;Vs. The Goonies;YES;NO;Konami;-;-;1986;
hogalley;-;Vs. Hogan's Alley;YES;NO;Nintendo;-;-;1985;
iceclimb;-;Vs. Ice Climber;YES;NO;Nintendo;-;-;1984;
iceclmbj;iceclimb;Vs. Ice Climber (Japan);NO;YES;Nintendo;iceclimb;-;1984;
ladygolf;-;Vs. Stroke and Match Golf (Ladies Version);YES;NO;Nintendo;-;-;1984;
machridr;-;Vs. Mach Rider (Endurance Course Version);YES;NO;Nintendo;-;-;1985;
machridj;machridr;Vs. Mach Rider (Japan, Fighting Course Version);NO;YES;Nintendo;machridr;-;1985;
rbibb;-;Vs. Atari R.B.I. Baseball (set 1);YES;NO;Namco;-;-;1986;
rbibba;rbibb;Vs. Atari R.B.I. Baseball (set 2);NO;YES;Namco;rbibb;-;1986;
suprmrio;-;Vs. Super Mario Bros.;YES;NO;Nintendo;-;-;1986;
vsskykid;-;Vs. Super SkyKid;YES;NO;Namco;-;-;1985;
tkoboxng;-;Vs. TKO Boxing;YES;NO;Namco LTD.;-;-;1987;
smgolf;-;Vs. Stroke and Match Golf (Men Version);YES;NO;Nintendo;-;-;1984;
smgolfj;smgolf;Vs. Stroke and Match Golf (Men Version) (Japan);NO;YES;Nintendo;smgolf;-;1984;
vspinbal;-;Vs. Pinball;YES;NO;Nintendo;-;-;1984;
vspinblj;vspinbal;Vs. Pinball (Japan);NO;YES;Nintendo;vspinbal;-;1984;
vsgradus;-;Vs. Gradius;YES;NO;Konami;-;-;1986;
platoon;-;Vs. Platoon;YES;NO;Ocean Software Limited;-;-;1987;
mightybj;-;Vs. Mighty Bomb Jack (Japan);YES;NO;Tecmo;-;-;1986;
jajamaru;-;Vs. Ninja Jajamaru Kun (Japan);YES;NO;Jaleco;-;-;1985;
topgun;-;Vs. Top Gun;YES;NO;Konami;-;-;1987;
bnglngby;-;Vs. Raid on Bungeling Bay (Japan);YES;NO;Nintendo / Broderbund Software Inc.;-;-;1985;
vstennis;-;Vs. Tennis;YES;NO;Nintendo;-;-;1984;
wrecking;-;Vs. Wrecking Crew;YES;NO;Nintendo;-;-;1984;
balonfgt;-;Vs. Balloon Fight;YES;NO;Nintendo;-;-;1984;
vsmahjng;-;Vs. Mahjang (Japan);YES;NO;Nintendo;-;-;1984;
vsbball;-;Vs. BaseBall;YES;NO;Nintendo of America;-;-;1984;
vsbballj;vsbball;Vs. BaseBall (Japan set 1);NO;YES;Nintendo of America;vsbball;-;1984;
vsbbalja;vsbball;Vs. BaseBall (Japan set 2);NO;YES;Nintendo of America;vsbball;-;1984;
iceclmrj;-;Vs. Ice Climber Dual (Japan);YES;NO;Nintendo;-;-;1984;
vsgshoe;-;Vs. Gumshoe;YES;NO;Nintendo;-;-;1986;
supxevs;-;Vs. Super Xevious;YES;NO;Namco;-;-;1986;
vsfdf;-;Vs. Freedom Force;YES;NO;Konami;-;-;1988;
smgolfb;smgolf;Vs. Stroke and Match Golf (Men set 2);NO;YES;Nintendo;smgolf;-;1985;
vsbbaljb;vsbball;Vs. BaseBall (Japan set 3);NO;YES;Nintendo of America;vsbball;-;1984;
nss_ssoc;-;Nintendo Super System - Super Soccer;YES;NO;Human Inc.;nss;-;1992;
nss_actr;-;Nintendo Super System - Act Raiser;YES;NO;Enix;nss;-;1992;
nss_con3;-;Nintendo Super System - Contra 3 - The Alien Wars;YES;NO;Konami;nss;-;1992;
nss_adam;-;Nintendo Super System - The Addams Family;YES;NO;Ocean;nss;-;1992;
nss_aten;-;Nintendo Super System - David Crane's Amazing Tennis;YES;NO;Absolute Entertainment Inc.;nss;-;1992;
nss_rob3;-;Nintendo Super System - Robocop 3;YES;NO;Ocean;nss;-;1992;
nss_ncaa;-;Nintendo Super System - NCAA Basketball;YES;NO;Sculptured Software Inc.;nss;-;1992;
nss_skin;-;Nintendo Super System - Skins Game;YES;NO;Irem;nss;-;1992;
nss_lwep;-;Nintendo Super System - Lethal Weapon;YES;NO;Ocean;nss;-;1992;
nss_smw;-;Nintendo Super System - Super Mario World;YES;NO;Nintendo;nss;-;199?;
nss_fzer;-;Nintendo Super System - F-Zero;YES;NO;Nintendo;nss;-;199?;
nss_sten;-;Nintendo Super System - Super Tennis;YES;NO;Nintendo;nss;-;199?;
seawolf;-;Sea Wolf;YES;NO;Midway;-;-;1976;
gunfight;-;Gun Fight;YES;NO;Midway;-;-;1975;
tornbase;-;Tornado Baseball;YES;NO;Midway;-;-;1976;
280zzzap;-;Datsun 280 Zzzap;YES;NO;Midway;-;-;1976;
maze;-;Amazing Maze;YES;NO;Midway;-;-;1976;
boothill;-;Boot Hill;YES;NO;Midway;-;-;1977;
checkmat;-;Checkmate;YES;NO;Midway;-;-;1977;
desertgu;-;Desert Gun;YES;NO;Midway;-;-;1977;
dplay;einnings;Double Play;NO;YES;Midway;einnings;-;1977;
lagunar;-;Laguna Racer;YES;NO;Midway;-;-;1977;
gmissile;-;Guided Missile;YES;NO;Midway;-;-;1977;
m4;-;M-4;YES;NO;Midway;-;-;1977;
clowns;-;Clowns (rev. 2);YES;NO;Midway;-;circus;1978;
clowns1;clowns;Clowns (rev. 1);NO;YES;Midway;clowns;circus;1978;
einnings;-;Extra Inning;YES;NO;Midway;-;-;1978;
shuffle;-;Shuffleboard;YES;NO;Midway;-;-;1978;
dogpatch;-;Dog Patch;YES;NO;Midway;-;circus;1977;
spcenctr;-;Space Encounters;YES;NO;Midway;-;-;1980;
phantom2;-;Phantom II;YES;NO;Midway;-;-;1979;
bowler;-;4 Player Bowling Alley;YES;NO;Midway;-;-;1978;
blueshrk;-;Blue Shark;YES;NO;Midway;-;-;1978;
invad2ct;-;Space Invaders II (Midway, cocktail);YES;NO;Midway;-;invaders;1980;
invadpt2;-;Space Invaders Part II (Taito);YES;NO;Taito;-;invaders;1979;
invaddlx;invadpt2;Space Invaders Deluxe;NO;YES;Midway;invadpt2;invaders;1980;
moonbase;invadpt2;Moon Base;NO;YES;Nichibutsu;invadpt2;invaders;1978;
indianbt;-;Indian Battle;YES;NO;Taito;-;invaders;1980;
earthinv;invaders;Super Earth Invasion;NO;YES;bootleg;invaders;invaders;1980;
spaceatt;invaders;Space Attack;NO;YES;Video Games GMBH;invaders;invaders;1978;
spaceat2;invaders;Space Attack II;NO;YES;Zenitone-Microsec Ltd;invaders;invaders;1980;
sinvzen;invaders;Super Invaders (Zenitone-Microsec);NO;YES;Zenitone-Microsec Ltd;invaders;invaders;19??;
superinv;invaders;Super Invaders;NO;YES;bootleg;invaders;invaders;19??;
sstrngr2;-;Space Stranger 2;YES;NO;Yachiyo Electronics, Ltd.;-;invaders;1979;
sinvemag;invaders;Super Invaders (EMAG);NO;YES;bootleg;invaders;invaders;19??;
jspecter;invaders;Jatre Specter (set 1);NO;YES;Jatre;invaders;invaders;1979;
jspectr2;invaders;Jatre Specter (set 2);NO;YES;Jatre;invaders;invaders;1979;
invrvnge;-;Invader's Revenge;YES;NO;Zenitone Microsec Ltd.;-;invaders;19??;
invrvnga;invrvnge;Invader's Revenge (Dutchford);NO;YES;Zenitone Microsec Ltd. (Dutchford license);invrvnge;invaders;19??;
galxwars;-;Galaxy Wars (Universal set 1);YES;NO;Universal;-;invaders;1979;
galxwar2;galxwars;Galaxy Wars (Universal set 2);NO;YES;Universal;galxwars;invaders;1979;
galxwart;galxwars;Galaxy Wars (Taito[Q]);NO;YES;Taito?;galxwars;invaders;1979;
starw;galxwars;Star Wars;NO;YES;bootleg;galxwars;invaders;1979;
lrescue;-;Lunar Rescue;YES;NO;Taito;-;-;1979;
grescue;lrescue;Galaxy Rescue;NO;YES;Taito (Universal license?);lrescue;lrescue;1979;
desterth;lrescue;Destination Earth;NO;YES;bootleg;lrescue;lrescue;1979;
cosmicmo;-;Cosmic Monsters;YES;NO;Universal;-;invaders;1979;
cosmicm2;-;Cosmic Monsters II;YES;NO;Universal;-;invaders;1979;
rollingc;-;Rolling Crash / Moon Base;YES;NO;Nichibutsu;-;invaders;1979;
ozmawar2;ozmawars;Ozma Wars (set 2);NO;YES;SNK;ozmawars;invaders;1979;
solfight;ozmawars;Solar Fight;NO;YES;bootleg;ozmawars;invaders;1979;
spaceph;ozmawars;Space Phantoms;NO;YES;Zilec Games;ozmawars;invaders;1979;
schaser;-;Space Chaser;YES;NO;Taito;-;-;1979;
schasrcv;schaser;Space Chaser (CV version);NO;YES;Taito;schaser;invaders;1979;
lupin3;-;Lupin III;YES;NO;Taito;-;invaders;1980;
spclaser;-;Space Laser;YES;NO;GamePlan (Taito);-;invaders;1980;
laser;spclaser;Laser;NO;YES;<unknown>;spclaser;invaders;1980;
spcewarl;spclaser;Space War (Leijac);NO;YES;Leijac (Konami);spclaser;invaders;1979;
polaris;-;Polaris (set 1);YES;NO;Taito;-;-;1980;
polarisa;polaris;Polaris (set 2);NO;YES;Taito;polaris;-;1980;
ballbomb;-;Balloon Bomber;YES;NO;Taito;-;invaders;1980;
steelwkr;-;Steel Worker;YES;NO;Taito;-;invaders;1980;
m79amb;-;M79 Ambush;YES;NO;RamTek;-;-;1977;
alieninv;invaders;Alien Invasion Part II;NO;YES;bootleg;invaders;invaders;19??;
tst_invd;invaders;Space Invaders Test ROM;NO;YES;Test ROM;invaders;invaders;19??;
sicv;invaders;Space Invaders (CV Version);NO;YES;Taito;invaders;invaders;1979;
spacewr3;invaders;Space War Part 3;NO;YES;bootleg;invaders;invaders;1978;
invaderl;invaders;Space Invaders (Logitec);NO;YES;bootleg;invaders;invaders;1978;
yosakdoa;yosakdon;Yosaku To Donbei (set 2);NO;YES;Worldwing;yosakdon;invaders;1979;
yosakdon;-;Yosaku To Donbei (set 1);YES;NO;Worldwing;-;invaders;1979;
spceking;invaders;Space King;NO;YES;Leijac (Konami);invaders;invaders;1978;
spcewars;invaders;Space War (Sanritsu);NO;YES;Sanritsu;invaders;invaders;1978;
cosmo;-;Cosmo;YES;NO;TDS & Mints;-;invaders;1979;
astropal;-;Astropal;YES;NO;Sidam;-;invaders;1980;
invasion;-;Invasion (Sidam);YES;NO;Sidam;-;invaders;1980;
invasioa;invasion;Invasion (bootleg, set 1, normal graphics);NO;YES;bootleg;invasion;invaders;1980;
invasiob;invasion;Invasion (bootleg, set 2, no copyright);NO;YES;bootleg;invasion;invaders;1980;
galactic;-;Galactica - Batalha Espacial;YES;NO;Taito do Brasil;-;invaders;1980;
spacmiss;galactic;Space Missile - Space Fighting Game;NO;YES;bootleg;galactic;invaders;1980;
sspeedr;-;Super Speed Race;YES;NO;Midway;-;-;1979;
sflush;-;Straight Flush;YES;NO;Taito;-;-;1979;
lazercmd;-;Lazer Command;YES;NO;Meadows Games, Inc.;-;-;1976;
bbonk;-;Bigfoot Bonkers;YES;NO;Meadows Games, Inc.;-;-;1976;
deadeye;-;Dead Eye;YES;NO;Meadows;-;-;1978;
gypsyjug;-;Gypsy Juggler;YES;NO;Meadows;-;-;1978;
minferno;-;Inferno (S2650);YES;NO;Meadows;-;-;1978;
medlanes;-;Meadows Lanes;YES;NO;Meadows Games, Inc.;-;-;1977;
cosmos;-;Cosmos;YES;NO;Century Electronics;cvs;-;1981;
darkwar;-;Dark Warrior;YES;NO;Century Electronics;cvs;-;1981;
spacefrt;-;Space Fortress;YES;NO;Century Electronics;cvs;-;1981;
8ball;-;Video Eight Ball;YES;NO;Century Electronics;cvs;-;1982;
8ball1;8ball;Video Eight Ball (Rev.1);NO;YES;Century Electronics;8ball;-;1982;
logger;-;Logger;YES;NO;Century Electronics;cvs;-;1982;
dazzler;-;Dazzler;YES;NO;Century Electronics;cvs;-;1982;
wallst;-;Wall Street;YES;NO;Century Electronics;cvs;-;1982;
radarzon;-;Radar Zone;YES;NO;Century Electronics;cvs;-;1982;
radarzn1;radarzon;Radar Zone (Rev.1);NO;YES;Century Electronics;radarzon;-;1982;
radarznt;radarzon;Radar Zone (Tuni);NO;YES;Century Electronics (Tuni Electro Service Inc);radarzon;-;1982;
outline;radarzon;Outline;NO;YES;Century Electronics;radarzon;-;1982;
goldbug;-;Gold Bug;YES;NO;Century Electronics;cvs;-;1982;
diggerc;-;Digger (CVS);YES;NO;Century Electronics;cvs;-;1982;
heartatk;-;Heart Attack;YES;NO;Century Electronics;cvs;-;1983;
superbik;-;Superbike;YES;NO;Century Electronics;cvs;-;1983;
seawolf2;-;Sea Wolf II;YES;NO;Midway;-;seawolf;1978;
spacezap;-;Space Zap;YES;NO;Midway;-;-;1980;
ebases;-;Extra Bases;YES;NO;Midway;-;-;1980;
wow;-;Wizard of Wor;YES;NO;Midway;-;-;1980;
gorf;-;Gorf;YES;NO;Midway;-;-;1981;
gorfpgm1;gorf;Gorf (Program 1);NO;YES;Midway;gorf;gorf;1981;
robby;-;Robby Roto;YES;NO;Bally Midway;-;-;1981;
profpac;-;Professor PacMan;YES;NO;Bally Midway;-;-;1983;
kicka;kick;Kick (cocktail);NO;YES;Midway;kick;-;1981;
tronfp;tron;Tron (freeplay);NO;YES;Bally Midway;tron;-;1982;
twotigra;twotiger;Two Tigers (dedicated);NO;YES;Bally Midway;twotiger;twotiger;1984;
turbotag;-;Turbo Tag (prototype);YES;NO;Bally Midway;-;-;1985;
crater;-;Crater Raider;YES;NO;Bally Midway;-;-;1984;
spyhnt2a;spyhunt2;Spy Hunter 2 (rev 1);NO;YES;Bally Midway;spyhunt2;-;1987;
archriv2;archrivl;Arch Rivals (rev 2.0);NO;YES;Bally Midway;archrivl;-;1989;
sentetst;-;Sente Diagnostic Cartridge;YES;NO;Bally/Sente;-;-;1984;
cshift;-;Chicken Shift;YES;NO;Bally/Sente;-;-;1984;
gghost;-;Goalie Ghost;YES;NO;Bally/Sente;-;-;1984;
hattrick;-;Hat Trick;YES;NO;Bally/Sente;-;-;1984;
otwalls;-;Off the Wall (Sente);YES;NO;Bally/Sente;-;-;1984;
snakepit;-;Snake Pit;YES;NO;Bally/Sente;-;-;1984;
snakjack;-;Snacks'n Jaxson;YES;NO;Bally/Sente;-;-;1984;
stocker;-;Stocker;YES;NO;Bally/Sente;-;-;1984;
triviag1;-;Trivial Pursuit (Genus I);YES;NO;Bally/Sente;-;-;1984;
triviag2;-;Trivial Pursuit (Genus II);YES;NO;Bally/Sente;-;-;1984;
triviasp;-;Trivial Pursuit (All Star Sports Edition);YES;NO;Bally/Sente;-;-;1984;
triviayp;-;Trivial Pursuit (Young Players Edition);YES;NO;Bally/Sente;-;-;1984;
triviabb;-;Trivial Pursuit (Baby Boomer Edition);YES;NO;Bally/Sente;-;-;1984;
gimeabrk;-;Gimme A Break;YES;NO;Bally/Sente;-;-;1985;
minigolf;-;Mini Golf (set 1);YES;NO;Bally/Sente;-;-;1985;
minigol2;minigolf;Mini Golf (set 2);NO;YES;Bally/Sente;minigolf;-;1985;
toggle;-;Toggle (prototype);YES;NO;Bally/Sente;-;-;1985;
nametune;-;Name That Tune;YES;NO;Bally/Sente;-;-;1986;
nstocker;-;Night Stocker;YES;NO;Bally/Sente;-;-;1986;
sfootbal;-;Street Football;YES;NO;Bally/Sente;-;-;1986;
spiker;-;Spiker;YES;NO;Bally/Sente;-;-;1986;
stompin;-;Stompin';YES;NO;Bally/Sente;-;-;1986;
rescraid;-;Rescue Raider;YES;NO;Bally/Midway;-;-;1987;
rescrdsa;rescraid;Rescue Raider (Stand-Alone);NO;YES;Bally/Midway;rescraid;-;1987;
grudge;-;Grudge Match (prototype);YES;NO;Bally/Midway;-;-;198?;
shrike;-;Shrike Avenger (prototype);YES;NO;Bally/Sente;-;-;1986;
gridlee;-;Gridlee;YES;NO;Videa;-;-;1983;
andromed;-;Andromeda (Japan[Q]);YES;NO;Irem;-;-;1979;
ipminvad;-;IPM Invader;YES;NO;Irem;-;-;1979?;
skychut;-;Sky Chuter;YES;NO;Irem;-;-;1980;
spacbeam;-;Space Beam;YES;NO;Irem;-;-;1979;
greenber;-;Green Beret (Irem);YES;NO;Irem;-;-;1980;
redalert;-;Red Alert;YES;NO;Irem + GDI;-;-;1981;
demoneye;-;Demoneye-X;YES;NO;Irem;-;-;1981;
yard;-;10 Yard Fight (Japan);YES;NO;Irem;-;-;1983;
vsyard;yard;10 Yard Fight (Vs. version World, 11-05-84);NO;YES;Irem;yard;-;1984;
vsyard2;yard;10 Yard Fight (Vs. version Japan, set 2);NO;YES;Irem;yard;-;1984;
kungfud;kungfum;Kung-Fu Master (Data East);NO;YES;Irem (Data East license);kungfum;-;1984;
ldrun3jp;ldrun3;Lode Runner III - Majin No Fukkatsu;NO;YES;Irem (licensed from Broderbund);ldrun3;-;1985;
spelnkrj;spelunkr;Spelunker (Japan);NO;YES;Irem (licensed from Broderbund);spelunkr;tr606drumkit;1985;
vigilntu;vigilant;Vigilante (US);NO;YES;Irem (Data East USA license);vigilant;-;1988;
vigilntj;vigilant;Vigilante (Japan);NO;YES;Irem;vigilant;-;1988;
rtypepj;rtype;R-Type (Japan prototype);NO;YES;Irem;rtype;-;1987;
dkgenm72;hharry;Daiku no Gensan (Japan, M72);NO;YES;Irem;hharry;-;1990;
poundfou;poundfor;Pound for Pound (US);NO;YES;Irem America;poundfor;-;1990;
sichuana;sichuan2;Sichuan II (hack[Q]) (set 2);NO;YES;Tamtex;sichuan2;-;1989;
dynablsb;dynablst;Dynablaster (bootleg);NO;YES;bootleg;dynablst;-;1992;
gunforcu;gunforce;Gunforce - Battle Fire Engulfed Terror Island (US);NO;YES;Irem America;gunforce;-;1991;
gunforcj;gunforce;Gunforce - Battle Fire Engulfed Terror Island (Japan);NO;YES;Irem;gunforce;-;1991;
skingam2;majtitl2;The Irem Skins Game (US set 2);NO;YES;Irem America;majtitl2;-;1992;
rtypelej;rtypeleo;R-Type Leo (Japan rev. D);NO;YES;Irem;rtypeleo;-;1992;
dsccr94j;dsoccr94;Dream Soccer '94 (Japan);NO;YES;Irem;dsoccr94;-;1994;
wpksoc;-;World PK Soccer;YES;NO;Jaleco;-;-;1995;
mplanuk;mplanets;Mad Planets (UK);NO;YES;Gottlieb (Taitel license);mplanets;-;1983;
qbertjp;qbert;Q*bert (Japan);NO;YES;Gottlieb (Konami license);qbert;qbert;1982;
mach3;-;M.A.C.H. 3;YES;NO;Mylstar;-;-;1983;
usvsthem;-;Us vs. Them;YES;NO;Mylstar;-;-;1984;
elecyoy2;elecyoyo;The Electric Yo-Yo (set 2);NO;YES;Taito America Corporation;elecyoyo;-;1982;
kram3;kram;Kram (encrypted);NO;YES;Taito America Corporation;kram;-;1982;
junglkj2;junglek;Jungle King (Japan, earlier);NO;YES;Taito Corporation;junglek;-;1982;
junglhbr;junglek;Jungle Hunt (Brazil);NO;YES;Taito do Brasil;junglek;-;1983;
wwester1;wwestern;Wild Western (set 2);NO;YES;Taito Corporation;wwestern;-;1982;
elevatob;elevator;Elevator Action (bootleg);NO;YES;bootleg;elevator;-;1983;
crbalon2;crbaloon;Crazy Balloon (set 2);NO;YES;Taito Corporation;crbaloon;-;1980;
sbowling;-;Strike Bowling;YES;NO;Taito Corporation;-;-;1982;
grchamp;-;Grand Champion;YES;NO;Taito;-;-;1981;
marinedt;-;Marine Date;YES;NO;Taito;-;-;1981;
bking;-;Birdie King;YES;NO;Taito Corporation;-;-;1982;
bking2;-;Birdie King 2;YES;NO;Taito Corporation;-;-;1983;
bking3;-;Birdie King 3;YES;NO;Taito Corporation;-;-;1984;
josvolly;-;Joshi Volleyball;YES;NO;Taito Corporation;-;-;1983;
gsword;-;Great Swordsman;YES;NO;Taito Corporation;-;-;1984;
retofin1;retofinv;Return of the Invaders (bootleg set 1);NO;YES;bootleg;retofinv;-;1985;
retofin2;retofinv;Return of the Invaders (bootleg set 2);NO;YES;bootleg;retofinv;-;1985;
fieldday;-;Field Day;YES;NO;Taito Corporation;-;-;1984;
undoukai;fieldday;The Undoukai (Japan);NO;YES;Taito Corporation;fieldday;-;1984;
40love;-;Forty-Love;YES;NO;Taito Corporation;-;-;1984;
tsamura2;tsamurai;Samurai Nihon-ichi (set 2);NO;YES;Taito;tsamurai;-;1985;
buggycht;buggychl;Buggy Challenge (Tecfri);NO;YES;Taito Corporation (Tecfri license);buggychl;-;1984;
bigevglf;-;Big Event Golf;YES;NO;Taito America Corporation;-;-;1986;
onna34ra;onna34ro;Onna Sansirou - Typhoon Gal (bootleg);NO;YES;Taito;onna34ro;-;1985;
ogonsiro;gladiatr;Ohgon no Siro (Japan);NO;YES;Taito Corporation;gladiatr;-;1986;
halleys;-;Halley's Comet (US);YES;NO;Taito America Corporation (Coin-It license);-;-;1986;
halleycj;halleys;Halley's Comet (Japan set 2);NO;YES;Taito Corporation;halleys;-;1986;
bublbob1;bublbobl;Bubble Bobble (older);NO;YES;Taito Corporation;bublbobl;-;1986;
bublbobr;bublbobl;Bubble Bobble (US with mode select);NO;YES;Taito America Corporation (Romstar license);bublbobl;-;1986;
bubbobr1;bublbobl;Bubble Bobble (US);NO;YES;Taito America Corporation (Romstar license);bublbobl;-;1986;
sboblbob;bublbobl;Super Bobble Bobble;NO;YES;bootleg;bublbobl;-;1986;
rastanu2;rastan;Rastan (US set 2);NO;YES;Taito America Corporation;rastan;-;1987;
topspedu;topspeed;Top Speed (US);NO;YES;Taito America Corporation (Romstar license);topspeed;-;1987;
othundu;othunder;Operation Thunderbolt (US);NO;YES;Taito America Corporation;othunder;-;1988;
rainbow;-;Rainbow Islands (new version);YES;NO;Taito Corporation;-;-;1987;
rainbowo;rainbow;Rainbow Islands (old version);NO;YES;Taito Corporation;rainbow;-;1987;
rainbowe;rainbow;Rainbow Islands (Extra);NO;YES;Taito Corporation;rainbow;-;1988;
arknoidu;arkanoid;Arkanoid (US);NO;YES;Taito America Corporation (Romstar license);arkanoid;-;1986;
arknoiuo;arkanoid;Arkanoid (US, older);NO;YES;Taito America Corporation (Romstar license);arkanoid;-;1986;
arknoidj;arkanoid;Arkanoid (Japan, newer w/level select);NO;YES;Taito Corporation;arkanoid;-;1986;
arkbl2;arkanoid;Arkanoid (Japanese bootleg Set 2);NO;YES;bootleg;arkanoid;-;1986;
arkbl3;arkanoid;Arkanoid (Japanese bootleg Set 3);NO;YES;bootleg;arkanoid;-;1986;
superqix;-;Super Qix;YES;NO;Taito;-;-;1987;
sqixbl;superqix;Super Qix (bootleg);NO;YES;bootleg;superqix;-;1987;
perestro;-;Perestroika Girls;YES;NO;Promat / Fuuki;-;-;1993;
pbillian;-;Prebillian;YES;NO;Taito;-;-;1986;
hotsmash;-;Hot Smash;YES;NO;Taito;-;-;1987;
bonzeadu;bonzeadv;Bonze Adventure (US);NO;YES;Taito America Corporation;bonzeadv;-;1988;
wgp;-;World Grand Prix (US);YES;NO;Taito America Corporation;-;-;1989;
wgpj;wgp;World Grand Prix (Japan);NO;YES;Taito Corporation;wgp;-;1989;
wgpjoy;wgp;World Grand Prix (joystick version set 1) (Japan);NO;YES;Taito Corporation;wgp;-;1989;
wgpjoya;wgp;World Grand Prix (joystick version set 2) (Japan);NO;YES;Taito Corporation;wgp;-;1989;
wgp2;wgp;World Grand Prix 2 (Japan);NO;YES;Taito Corporation;wgp;-;1990;
drius2do;darius2;Darius II (dual screen) (Japan old version);NO;YES;Taito Corporation;darius2;-;1989;
twinhwku;twinhawk;Twin Hawk (US);NO;YES;Taito America Corporation;twinhawk;-;1989;
arknid2u;arknoid2;Arkanoid - Revenge of DOH (US);NO;YES;Taito America Corporation (Romstar license);arknoid2;-;1987;
arknid2j;arknoid2;Arkanoid - Revenge of DOH (Japan);NO;YES;Taito Corporation;arknoid2;-;1987;
drtopplu;drtoppel;Dr. Toppel's Adventure (US);NO;YES;Taito America Corporation;drtoppel;-;1987;
drtopplj;drtoppel;Dr. Toppel's Tankentai (Japan);NO;YES;Taito Corporation;drtoppel;-;1987;
chukatau;chukatai;Chuka Taisen (US);NO;YES;Taito America Corporation;chukatai;-;1988;
chukataj;chukatai;Chuka Taisen (Japan);NO;YES;Taito Corporation;chukatai;-;1988;
tnzsb;tnzs;The NewZealand Story (World, new version) (P0-043A PCB);NO;YES;Taito Corporation Japan;tnzs;-;1988;
