name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
captcommj;Captain Commando (911202 Japan);1991;Capcom;YES;captcomm;NO;captcomm;-;
captcomm;Captain Commando (911202 World);1991;Capcom;NO;-;YES;-;-;
captcommb;Captain Commando (bootleg set 1, 911014 other country);1991;bootleg;YES;captcomm;NO;captcomm;-;
captcommb2;Captain Commando (bootleg set 2 (with 2xMSM5205), 911014 other country);1991;bootleg;YES;captcomm;NO;captcomm;-;
captcommb3;Captain Commando (bootleg set 3 (with YM2151 + 2xMSM5205), 911014 other country);1991;bootleg;YES;captcomm;NO;captcomm;-;
captcommpjy;Captain Commando (Elite Competition);2022;hack;YES;captcomm;NO;captcomm;-;
captcommp4;Captain Commando (Enhanced edition 1 V 4, Hack);2015-12-05;hack;YES;captcomm;NO;captcomm;-;
captcomm2y;Captain Commando (Er Ye);2022;hack;YES;captcomm;NO;captcomm;-;
captcommpmy;Captain Commando (Incubus);2022;hack;YES;captcomm;NO;captcomm;-;
captcommpwx;Captain Commando (Unlimited Bullet);2021;hack;YES;captcomm;NO;captcomm;-;
captre;Captain Commando Readjusted (Hack, v1.0);2022;GameHackFan;YES;captcomm;NO;captcomm;-;
csilverja;Captain Silver (Japan revision 1);1987;Data East Corporation;YES;csilver;NO;csilver;-;
csilverj;Captain Silver (Japan revision 3);1987;Data East Corporation;YES;csilver;NO;csilver;-;
csilver;Captain Silver (World);1987;Data East Corporation;NO;-;YES;-;-;
ctomaday;Captain Tomaday;1999;Visco;NO;neogeo;YES;-;-;
carjmbre;Car Jamboree;1983;Omori Electric Co., Ltd.;NO;-;YES;-;-;
carket;Carket Ball;1996;SemiCom;NO;-;YES;-;-;
carnivalc;Carnival (cocktail);1980;Sega;YES;carnival;NO;carnival;carnival;
carnival;Carnival (upright);1980;Sega;NO;-;YES;-;-;
cawingbl;Carrier Air Wing (bootleg set 1 (with 2xYM2203 + 2xMSM5205), U.S. navy 901012 etc);1990;bootleg;YES;cawing;NO;cawing;-;
cawingb2;Carrier Air Wing (bootleg set 2 (with 2xYM2203 + 2xMSM5205), U.S. navy 901012 etc);1990;bootleg;YES;cawing;NO;cawing;-;
cawingr1;Carrier Air Wing (U.S. navy 901009 etc);1990;Capcom;YES;cawing;NO;cawing;-;
cawing;Carrier Air Wing (U.S. navy 901012 etc);1990;Capcom;NO;-;YES;-;-;
cawingur1;Carrier Air Wing (U.S. navy 901012 USA);1990;Capcom;YES;cawing;NO;cawing;-;
cawingu;Carrier Air Wing (U.S. navy 901130 USA);1990;Capcom;YES;cawing;NO;cawing;-;
casanova;Casanova;199?;Promat;NO;-;YES;-;-;
cashquiz;Cash Quiz (Type B, Version 5);1986;Zilec-Zenitone;NO;-;YES;-;-;
catacomb;Catacomb;1982;MTM Games;NO;-;YES;-;-;
catch22;Catch-22 (version 8.0);1985;Exidy;YES;combat;NO;combat;-;
ctrpllrp;Caterpillar Pacman Hack;1982;hack;YES;puckman;NO;puckman;-;
catt;Catt (Japan);1993;Wintechno;YES;mcatadv;NO;mcatadv;-;
cavelon;Cavelon;1983;Jetsoft;NO;-;YES;-;-;
cninjabl;Caveman Ninja (bootleg);1991;bootleg;YES;cninja;NO;cninja;-;
cninjau;Caveman Ninja (US ver 4);1991;Data East Corporation;YES;cninja;NO;cninja;-;
cninja1;Caveman Ninja (World ver 1);1991;Data East Corporation;YES;cninja;NO;cninja;-;
cninja;Caveman Ninja (World ver 4);1991;Data East Corporation;NO;-;YES;-;-;
cencourt;Center Court (World, 4 Players, prototype, MC-8123B);1988;Sega;YES;passsht;NO;passsht;-;
centiped3;Centipede (revision 3);1980;Atari;YES;centiped;NO;centiped;-;
centiped;Centipede (revision 4);1980;Atari;NO;-;YES;-;-;
chaknpop;Chack'n Pop;1983;Taito Corporation;NO;-;YES;-;-;
chainrec;Chain Reaction (World, Version 2.2, 1995.09.25);1995;Data East;NO;-;YES;-;-;
chameleo;Chameleon;1983;Jaleco;NO;-;YES;-;-;
champwrj;Champion Wrestler (Japan);1989;Taito Corporation;YES;champwr;NO;champwr;-;
champwru;Champion Wrestler (US);1989;Taito America Corporation;YES;champwr;NO;champwr;-;
champwr;Champion Wrestler (World);1989;Taito Corporation Japan;NO;-;YES;-;-;
chanbara;Chanbara;1985;Data East;NO;-;YES;-;-;
chkun;Chance Kun (Japan);1988;Peni Soft;NO;-;YES;-;-;
cairblad;Change Air Blade (Japan);1999;Sammy;NO;-;YES;-;-;
changesa;Changes (EME license);1982;Orca (Eastern Micro Electronics, Inc. license);YES;changes;NO;changes;-;
changes;Changes;1982;Orca;NO;-;YES;-;-;
pgmdemo;Chaos (PGM Demo);2005;Raster;NO;pgm;YES;-;-;
cps1demo;Chaos Demo (CPS-1);2000;Chaos;NO;-;YES;-;-;
neodemo;Chaos Demo (Neo Geo);2002;Chaos;NO;neogeo;YES;-;-;
charlien;Charlie Ninja;1995;Mitchell;NO;-;YES;-;-;
cbombersp;Chase Bombers (Japan Prototype);1994;Taito Corporation;YES;cbombers;NO;cbombers;-;
cbombersj;Chase Bombers (Japan);1994;Taito Corporation;YES;cbombers;NO;cbombers;-;
cbombers;Chase Bombers (World);1994;Taito Corporation Japan;NO;-;YES;-;-;
chasehqju;Chase H.Q. (Japan UP);1988;Taito Corporation;YES;chasehq;NO;chasehq;-;
chasehqj;Chase H.Q. (Japan);1988;Taito Corporation;YES;chasehq;NO;chasehq;-;
chasehqu;Chase H.Q. (US);1988;Taito America Corporation;YES;chasehq;NO;chasehq;-;
chasehq;Chase H.Q. (World);1988;Taito Corporation Japan;NO;-;YES;-;-;
karatourj;Chatan Yara Kuushanku - The Karate Tournament (Japan);1992;Mitchell;YES;karatour;NO;karatour;-;
checkmanj;Check Man (Japan);1982;Jaleco;YES;checkman;NO;checkman;-;
checkman;Check Man;1982;Zilex-Zenitone;NO;-;YES;-;-;
cheekyms;Cheeky Mouse;1980;Universal;NO;-;YES;-;-;
cheesech;Cheese Chase;1994;Art & Magic;NO;-;YES;-;-;
chelnovj;Chelnov - Atomic Runner (Japan);1988;Data East Corporation;YES;chelnov;NO;chelnov;-;
chelnovu;Chelnov - Atomic Runner (US);1988;Data East USA;YES;chelnov;NO;chelnov;-;
chelnov;Chelnov - Atomic Runner (World);1988;Data East Corporation;NO;-;YES;-;-;
chqflagj;Chequered Flag (Japan);1988;Konami;YES;chqflag;NO;chqflag;-;
chqflag;Chequered Flag;1988;Konami;NO;-;YES;-;-;
chewing;Chewing Gum;1980;unknown;YES;luctoday;NO;luctoday;-;
cheyenne;Cheyenne (version 1.0);1984;Exidy;NO;-;YES;-;-;
7toitsu;Chi-Toitsu;1988;Yuga;YES;mgakuen;NO;mgakuen;-;
marukodq;Chibi Marukochan Deluxe Quiz;1995;Takara;NO;neogeo;YES;-;-;
chikij;Chiki Chiki Boys (900619 Japan);1990;Capcom;YES;mtwins;NO;mtwins;-;
chiller;Chiller (version 3.0);1986;Exidy;NO;-;YES;-;-;
chimerab;Chimera Beast (prototype);1993;Jaleco;NO;-;YES;-;-;
chinagat;China Gate (US);1988;Technos Japan (Taito Romstar license);NO;-;YES;-;-;
chinatwn;China Town (Japan);1991;Data East Corporation;NO;-;YES;-;-;
chinhero2;Chinese Hero (older, set 1);1984;Taiyo;YES;chinhero;NO;chinhero;-;
chinhero3;Chinese Hero (older, set 2);1984;Taiyo;YES;chinhero;NO;chinhero;-;
chinhero;Chinese Hero;1984;Taiyo;NO;-;YES;-;-;
chinherot;Chinese Heroe (Taito);1984;Taiyo (Taito license);YES;chinhero;NO;chinhero;-;
cndi;Chip n Dale (FMV Demo);2009;Sergi;NO;neogeo;YES;-;-;
choko;Choko (010820 Japan);2001;Mitchell;NO;-;YES;-;-;
chokchok;Choky! Choky!;1995;SemiCom;NO;-;YES;-;-;
choplift;Choplifter (8751 315-5151);1985;Sega;NO;-;YES;-;-;
chopliftbl;Choplifter (bootleg);1985;Sega;YES;choplift;NO;choplift;-;
chopliftu;Choplifter (unprotected);1985;Sega;YES;choplift;NO;choplift;-;
choppera;Chopper I (US ver 1?);1988;SNK;YES;chopper;NO;chopper;-;
chopper;Chopper I (US ver 2);1988;SNK;NO;-;YES;-;-;
chopperb;Chopper I (US);1988;SNK;YES;chopper;NO;chopper;-;
berabohmb;Chou Zetsurinjin Berabowman (Japan, Rev B);1988;Namco;YES;berabohm;NO;berabohm;-;
berabohm;Chou Zetsurinjin Berabowman (Japan, Rev C);1988;Namco;NO;-;YES;-;-;
legionjb;Chouji Meikyuu Legion (Japan ver 1.05, bootleg);1987;Nichibutsu;YES;legion;NO;legion;-;
legionj;Chouji Meikyuu Legion (Japan ver 1.05, set 1);1987;Nichibutsu;YES;legion;NO;legion;-;
legionj2;Chouji Meikyuu Legion (Japan ver 1.05, set 2);1987;Nichibutsu;YES;legion;NO;legion;-;
ironclad;Choutetsu Brikin'ger - Iron clad (Prototype);1996;Saurus;NO;neogeo;YES;-;-;
ironclado;Choutetsu Brikin'ger - Iron clad (Prototype, older);1996;Saurus;YES;ironclad;NO;ironclad;-;
chukataija;Chuka Taisen (Japan) (P0-025-A PCB);1988;Taito Corporation;YES;chukatai;NO;chukatai;-;
chukataij;Chuka Taisen (Japan) (P0-028-A PCB);1988;Taito Corporation;YES;chukatai;NO;chukatai;-;
chukataiu;Chuka Taisen (US) (P0-028-A PCB);1988;Taito America Corporation;YES;chukatai;NO;chukatai;-;
chukatai;Chuka Taisen (World) (P0-028-A PCB);1988;Taito Corporation Japan;NO;-;YES;-;-;
ddaydoo;Chulgyeok D-Day (Korea);1990;Dooyong;YES;lastday;NO;lastday;-;
drgw3100;Chuugokuryuu 3 Special (ver. 100, Japan);1998;IGS (Alta Co., LTD License);YES;drgw3;NO;drgw3;-;
drgw3103;Chuugokuryuu 3 Special (ver. 103, japan);1998;IGS (Alta Co., LTD License);YES;drgw3;NO;drgw3;-;
drgw2100j;Chuugokuryuu II (V100, Japan);1997;IGS;YES;drgw2;NO;drgw2;-;
drgw2101j;Chuugokuryuu II (V101, Japan);1997;IGS;YES;drgw2;NO;drgw2;-;
circuscc;Circus Charlie (Centuri);1984;Konami (Centuri license);YES;circusc;NO;circusc;-;
circusce;Circus Charlie (Centuri, earlier);1984;Konami (Centuri license);YES;circusc;NO;circusc;-;
circusc;Circus Charlie (level select, set 1);1984;Konami;NO;-;YES;-;-;
circusc2;Circus Charlie (level select, set 2);1984;Konami;YES;circusc;NO;circusc;-;
circusc3;Circus Charlie (level select, set 3);1984;Konami;YES;circusc;NO;circusc;-;
circusc4;Circus Charlie (no level select);1984;Konami;YES;circusc;NO;circusc;-;
cischeat;Cisco Heat;1990;Jaleco;NO;-;YES;-;-;
cityatta;City Attack (Petaco S.A., bootleg of Pleiads);1981;bootleg (Petaco S.A.);YES;pleiads;NO;pleiads;-;
citybombj;City Bomber (Japan);1987;Konami;YES;citybomb;NO;citybomb;-;
citybomb;City Bomber (World);1987;Konami;NO;-;YES;-;-;
citycon;City Connection (set 1);1985;Jaleco;NO;-;YES;-;-;
citycona;City Connection (set 2);1985;Jaleco;YES;citycon;NO;citycon;-;
clshroadd;Clash-Road (Data East license);1986;Wood Place Inc. (Data East license);YES;clshroad;NO;clshroad;-;
clshroads;Clash-Road (Status license);1986;Wood Place Inc. (Status Game Corp. license);YES;clshroad;NO;clshroad;-;
clshroad;Clash-Road;1986;Wood Place Inc.;NO;-;YES;-;-;
claypign;Clay Pigeon (version 2.0);1986;Exidy;NO;-;YES;-;-;
cleopatr;Cleopatra Fortune (Ver 2.1J 1996/09/05);1996;Taito Corporation;NO;-;YES;-;-;
cloakfr;Cloak & Dagger (French);1983;Atari;YES;cloak;NO;cloak;-;
cloakgr;Cloak & Dagger (German);1983;Atari;YES;cloak;NO;cloak;-;
cloak;Cloak & Dagger (rev 5);1983;Atari;NO;-;YES;-;-;
cloaksp;Cloak & Dagger (Spanish);1983;Atari;YES;cloak;NO;cloak;-;
cloud9;Cloud 9 (prototype);1983;Atari;NO;-;YES;-;-;
cgraplop;Cluster Buster (DECO Cassette) (US);1983;Data East Corporation;NO;decocass;YES;-;-;
cltchitrjd;Clutch Hitter (set 1, Japan, FD1094 317-0175 decrypted);1991;Sega;YES;cltchitr;NO;cltchitr;-;
cltchitrj;Clutch Hitter (set 1, Japan, FD1094 317-0175);1991;Sega;YES;cltchitr;NO;cltchitr;-;
cltchitrd;Clutch Hitter (set 2, US, FD1094 317-0176 decrypted);1991;Sega;YES;cltchitr;NO;cltchitr;-;
cltchitr;Clutch Hitter (set 2, US, FD1094 317-0176);1991;Sega;NO;-;YES;-;-;
cobracomib;Cobra-Command (Italian bootleg);1988;bootleg;YES;cobracom;NO;cobracom;-;
cobracomj;Cobra-Command (Japan);1988;Data East Corporation;YES;cobracom;NO;cobracom;-;
cobracomjb;Cobra-Command (Japan, bootleg);1988;bootleg;YES;cobracom;NO;cobracom;-;
cobracomja;Cobra-Command (Japan?, set 2);1988;Data East Corporation;YES;cobracom;NO;cobracom;-;
cobracoma;Cobra-Command (World/US revision 4);1988;Data East Corporation;YES;cobracom;NO;cobracom;-;
cobracom;Cobra-Command (World/US revision 5);1988;Data East Corporation;NO;-;YES;-;-;
cobracomb;Cobra-Command (World/US);1988;Data East Corporation;YES;cobracom;NO;cobracom;-;
ladybugb2;Coccinelle (bootleg of Lady Bug, set 2);1981;bootleg (Model Racing);YES;ladybug;NO;ladybug;-;
unkpacgc;Coco Louco;1988;unknown;YES;unkpacg;NO;unkpacg;-;
cnbe;Codename - Blut Engel (2006-01-19);2006;blastar@gmx.net;NO;neogeo;YES;-;-;
cnbe2018;Codename - Blut Engel (2018-09-05);2018;blastar@gmx.net;YES;cnbe;NO;cnbe;-;
colony7;Colony 7 (set 1);1981;Taito;NO;-;YES;-;-;
colony7a;Colony 7 (set 2);1981;Taito;YES;colony7;NO;colony7;-;
colt;Colt;1986;bootleg;YES;nycaptor;NO;nycaptor;-;
columnsj;Columns (Japan);1990;Sega;YES;columns;NO;columns;-;
columnsn;Columns (Neo Geo);????;homebrew;NO;neogeo;YES;-;-;
columnsu;Columns (US, cocktail, Rev A);1990;Sega;YES;columns;NO;columns;-;
columns;Columns (World);1990;Sega;NO;-;YES;-;-;
column2j;Columns II: The Voyage Through Time (Japan);1990;Sega;YES;columns2;NO;columns2;-;
columns2;Columns II: The Voyage Through Time (World);1990;Sega;NO;-;YES;-;-;
combat;Combat (version 3.0);1985;Exidy;NO;-;YES;-;-;
combh;Combat Hawk;1987;Sega / Sanritsu;NO;-;YES;-;-;
combatsc;Combat School (joystick);1988;Konami;NO;-;YES;-;-;
toto;Come Back Toto;1996;SoftClub;NO;-;YES;-;-;
pacmanpe;Come Come (Petaco SA bootleg of Puck Man);1980;bootleg (Petaco SA);YES;puckman;NO;puckman;-;
mspacmanbhe;Come-Cocos (Ms. Pac-Man) ('Made in Greece' Herle SA bootleg);1981;bootleg (Herle SA);YES;mspacman;NO;mspacman;-;
mspacmanbcc;Come-Cocos (Ms. Pac-Man) ('Made in Greece' Tecnausa bootleg);1981;bootleg (Tecnausa);YES;mspacman;NO;mspacman;-;
mspacmanbco;Come-Cocos (Ms. Pac-Man) (Cocomatic bootleg);1981;bootleg (Cocomatic);YES;mspacman;NO;mspacman;-;
commandw;Command War - Super Special Battle & War Game (Ver 0.0J) (Prototype);1992;Taito Corporation;NO;-;YES;-;-;
commandob;Commando (bootleg set 1);1985;bootleg;YES;commando;NO;commando;-;
commandob2;Commando (bootleg set 2);1985;bootleg;YES;commando;NO;commando;-;
commandob3;Commando (bootleg set 3);1985;bootleg;YES;commando;NO;commando;-;
commsega;Commando (Sega);1983;Sega;NO;-;YES;-;-;
commandou;Commando (US set 1);1985;Capcom (Data East USA license);YES;commando;NO;commando;-;
commandou2;Commando (US set 2);1985;Capcom (Data East USA license);YES;commando;NO;commando;-;
commando;Commando (World);1985;Capcom;NO;-;YES;-;-;
comotion;CoMOTION;1976;Gremlin;NO;-;YES;-;blockade;
complexx;Complex X;1984;Taito America Corporation;NO;-;YES;-;-;
condorn;Condor (S C Novar bootleg of Phoenix);1981;bootleg (S C Novar);YES;phoenix;NO;phoenix;-;
condor;Condor (Sidam bootleg of Phoenix);1981;bootleg (Sidam);YES;phoenix;NO;phoenix;-;
congoa;Congo Bongo (Rev C, 3 board stack);1983;Sega;YES;congo;NO;congo;congo;
congo;Congo Bongo;1983;Sega;NO;-;YES;-;-;
contcircj;Continental Circus (Japan);1987;Taito Corporation;YES;contcirc;NO;contcirc;-;
contcircu;Continental Circus (US set 1);1987;Taito America Corporation;YES;contcirc;NO;contcirc;-;
contcircua;Continental Circus (US set 2);1987;Taito America Corporation;YES;contcirc;NO;contcirc;-;
contcirc;Continental Circus (World);1987;Taito Corporation Japan;NO;-;YES;-;-;
contrab;Contra (bootleg);1987;bootleg;YES;contra;NO;contra;-;
contrabj;Contra (Japan bootleg, set 1);1987;bootleg;YES;contra;NO;contra;-;
contrabj1;Contra (Japan bootleg, set 2);1987;bootleg;YES;contra;NO;contra;-;
contraj;Contra (Japan, set 1);1987;Konami;YES;contra;NO;contra;-;
contraj1;Contra (Japan, set 2);1987;Konami;YES;contra;NO;contra;-;
contra;Contra (US / Asia, set 1);1987;Konami;NO;-;YES;-;-;
contra1;Contra (US / Asia, set 2);1987;Konami;YES;contra;NO;contra;-;
contrae;Contra (US / Asia, set 3);1987;Konami;YES;contra;NO;contra;-;
cookbib;Cookie & Bibi (set 1);1995;SemiCom;NO;-;YES;-;-;
cookbiba;Cookie & Bibi (set 2);1995;SemiCom;YES;cookbib;NO;cookbib;-;
cookbib2c;Cookie & Bibi 2 (English / Korean);1996;SemiCom;YES;cookbib2;NO;cookbib2;-;
cookbib2;Cookie & Bibi 2 (English, set 1);1996;SemiCom;NO;-;YES;-;-;
cookbib2a;Cookie & Bibi 2 (English, set 2);1996;SemiCom;YES;cookbib2;NO;cookbib2;-;
cookbib2b;Cookie & Bibi 2 (English, set 3);1996;SemiCom;YES;cookbib2;NO;cookbib2;-;
cookbib3;Cookie & Bibi 3;1997;SemiCom;NO;-;YES;-;-;
coolminii;Cool Minigame Collection (Italy);1999;SemiCom;YES;coolmini;NO;coolmini;-;
coolmini;Cool Minigame Collection;1999;SemiCom;NO;-;YES;-;-;
clbowl;Coors Light Bowling;1989;Incredible Technologies / Capcom;YES;capbowl;NO;capbowl;-;
cop01;Cop 01 (set 1);1985;Nichibutsu;NO;-;YES;-;-;
cop01a;Cop 01 (set 2);1985;Nichibutsu;YES;cop01;NO;cop01;-;
cavenger;Cosmic Avenger;1981;Universal;NO;-;YES;-;-;
cosmccop;Cosmic Cop (World);1991;Irem;NO;-;YES;-;-;
cgangpzlj;Cosmo Gang the Puzzle (Japan);1992;Namco;YES;cgangpzl;NO;cgangpzl;-;
cgangpzl;Cosmo Gang the Puzzle (US);1992;Namco;NO;namcoc69;YES;-;-;
cosmogng;Cosmo Gang the Video (US);1991;Namco;NO;-;YES;-;-;
galivan3;Cosmo Police Galivan (12/11/1985);1985;Nichibutsu;YES;galivan;NO;galivan;-;
galivan2;Cosmo Police Galivan (12/16/1985);1985;Nichibutsu;YES;galivan;NO;galivan;-;
galivan;Cosmo Police Galivan (12/26/1985);1985;Nichibutsu;NO;-;YES;-;-;
cottong;Cotocoto Cottong;1982;bootleg;YES;locomotn;NO;locomotn;-;
cottonjad;Cotton (set 1, Japan, Rev A, FD1094 317-0179a decrypted));1991;Success / Sega;YES;cotton;NO;cotton;-;
cottonja;Cotton (set 1, Japan, Rev A, FD1094 317-0179a));1991;Success / Sega;YES;cotton;NO;cotton;-;
cottonjd;Cotton (set 2, Japan, Rev B, FD1094 317-0179b decrypted));1991;Success / Sega;YES;cotton;NO;cotton;-;
cottonj;Cotton (set 2, Japan, Rev B, FD1094 317-0179b));1991;Success / Sega;YES;cotton;NO;cotton;-;
cottonud;Cotton (set 2, US, FD1094 317-0180 decrypted);1991;Success / Sega;YES;cotton;NO;cotton;-;
cottonu;Cotton (set 2, US, FD1094 317-0180);1991;Success / Sega;YES;cotton;NO;cotton;-;
cottond;Cotton (set 3, World, FD1094 317-0181a decrypted);1991;Success / Sega;YES;cotton;NO;cotton;-;
cotton;Cotton (set 3, World, FD1094 317-0181a);1991;Success / Sega;NO;-;YES;-;-;
countrunb;Counter Run (bootleg set 1);1988;bootleg;YES;countrun;NO;countrun;-;
countrun;Counter Run (NS6201-A 1988.3);1988;Nihon System (Sega license);NO;-;YES;-;-;
countryc;Country Club;1988;SNK;NO;-;YES;-;-;
crkdownj;Crack Down (Japan, Floppy Based, FD1094 317-0058-04b Rev A);1989;Sega;YES;crkdown;NO;crkdown;-;
crkdownu;Crack Down (US, Floppy Based, FD1094 317-0058-04d);1989;Sega;YES;crkdown;NO;crkdown;-;
crkdown;Crack Down (World, Floppy Based, FD1094 317-0058-04c);1989;Sega;NO;-;YES;-;-;
cracksht;Crackshot (version 2.0);1985;Exidy;NO;-;YES;-;-;
hocrash;Crash (bootleg of Head On);1979;bootleg (Fraber);YES;headon;NO;headon;-;
crashh;Crash (Pac-Man);2002;hack;NO;-;YES;-;-;
qcrayon2;Crayon Shinchan Orato Asobo (Japan);1993;Taito Corporation;NO;-;YES;-;-;
crbaloon;Crazy Balloon (set 1);1980;Taito Corporation;NO;-;YES;-;-;
crbaloon2;Crazy Balloon (set 2);1980;Taito Corporation;YES;crbaloon;NO;crbaloon;-;
crazyblk;Crazy Blocks;1983;Kiwako (ECI license);YES;mrjong;NO;mrjong;-;
cclimberj;Crazy Climber (Japan);1980;Nichibutsu;YES;cclimber;NO;cclimber;-;
cclimber;Crazy Climber (US set 1);1980;Nichibutsu;NO;-;YES;-;-;
cclimbera;Crazy Climber (US set 2);1980;Nichibutsu;YES;cclimber;NO;cclimber;-;
cclimbr2;Crazy Climber 2 (Japan);1988;Nichibutsu;NO;-;YES;-;-;
cclimbr2a;Crazy Climber 2 (Japan, Harder);1988;Nichibutsu;YES;cclimbr2;NO;cclimbr2;-;
crazycop;Crazy Cop (Japan);1988;Konami;YES;gbusters;NO;gbusters;-;
crazyfgt;Crazy Fight;1996;Subsino;NO;-;YES;-;-;
ckongg;Crazy Kong (bootleg on Galaxian hardware);1981;bootleg;YES;ckong;NO;ckong;-;
ckongmc;Crazy Kong (bootleg on Moon Cresta hardware);1981;bootleg;YES;ckong;NO;ckong;-;
ckongs;Crazy Kong (bootleg on Scramble hardware);1981;bootleg;YES;ckong;NO;ckong;-;
ckongpt2b;Crazy Kong Part II (alternative levels);1981;bootleg;YES;ckongpt2;NO;ckongpt2;-;
ckongpt2b2;Crazy Kong Part II (bootleg);1981;bootleg;YES;ckongpt2;NO;ckongpt2;-;
ckongpt2j;Crazy Kong Part II (Japan);1981;Falcon;YES;ckongpt2;NO;ckongpt2;-;
ckongpt2jeu;Crazy Kong Part II (Jeutel bootleg);1981;bootleg (Jeutel);YES;ckongpt2;NO;ckongpt2;-;
ckongpt2;Crazy Kong Part II (set 1);1981;Falcon;NO;-;YES;-;-;
ckongpt2a;Crazy Kong Part II (set 2);1981;Falcon;YES;ckongpt2;NO;ckongpt2;-;
ckong;Crazy Kong;1981;Kyoei / Falcon;NO;-;YES;-;-;
crzrallyg;Crazy Rally (Gecas license);1985;Tecfri (Gecas license);YES;crzrally;NO;crzrally;-;
crzrally;Crazy Rally (set 1);1985;Tecfri;NO;-;YES;-;-;
crzrallya;Crazy Rally (set 2);1985;Tecfri;YES;crzrally;NO;crzrally;-;
crazywar;Crazy War;2002;Eolith;NO;-;YES;-;-;
mooncrsl;Cresta Mundo (Laguna S.A. Spanish Moon Cresta bootleg);1980;bootleg (Laguna S.A.);YES;mooncrst;NO;mooncrst;-;
crimecj;Crime City (Japan);1989;Taito Corporation;YES;crimec;NO;crimec;-;
crimecu;Crime City (US);1989;Taito America Corporation;YES;crimec;NO;crimec;-;
crimec;Crime City (World);1989;Taito Corporation Japan;NO;-;YES;-;-;
crimfghtj;Crime Fighters (Japan 2 Players);1989;Konami;YES;crimfght;NO;crimfght;-;
crimfghtu;Crime Fighters (US 4 Players);1989;Konami;YES;crimfght;NO;crimfght;-;
crimfght;Crime Fighters (World 2 players);1989;Konami;NO;-;YES;-;-;
vendetta2pp;Crime Fighters 2 (Japan, 2 Players ver. P);1991;Konami;YES;vendetta;NO;vendetta;-;
vendettan;Crime Fighters 2 (Japan, 4 Players ver. N);1991;Konami;YES;vendetta;NO;vendetta;-;
crockman;Crock-Man (bootleg, Rene-Pierre);1980;bootleg (Rene-Pierre);YES;puckman;NO;puckman;-;
crockmnf;Crock-Man (Marti Colls bootleg of Rene Pierre Crock-Man);1980;bootleg (Marti Colls);YES;puckman;NO;puckman;-;
croquisg;Croquis (Germany);1996;Deniam;YES;croquis;NO;croquis;-;
croquis;Croquis (Korea);1996;Deniam;NO;-;YES;-;-;
crossbld;Cross Blades! (Japan);1991;Irem;YES;bmaster;NO;bmaster;-;
crospang;Cross Pang;1998;F2 System;NO;-;YES;-;-;
crossbow;Crossbow (version 2.0);1983;Exidy;NO;-;YES;-;-;
crsword;Crossed Swords (ALM-002)(ALH-002);1991;Alpha Denshi Co.;NO;neogeo;YES;-;-;
crswd2bl;Crossed Swords 2 (bootleg CD to cartridge conversion);1991;bootleg (Razoola);NO;neogeo;YES;-;-;
cphd;Crouching Poney Hidden Dragon (DEMO);2013;Le Cortex;NO;neogeo;YES;-;-;
cthd2003;Crouching Tiger Hidden Dragon 2003 (set 1);2003;Phenixsoft;YES;kof2001;NO;kof2001;-;
cthd2k3a;Crouching Tiger Hidden Dragon 2003 (set 2);2003;bootleg;YES;kof2001;NO;kof2001;-;
ct2k3sp;Crouching Tiger Hidden Dragon 2003 Super Plus;2003;bootleg;YES;kof2001;NO;kof2001;-;
ct2k3sa;Crouching Tiger Hidden Dragon 2003 Super Plus alternate;2003;bootleg;YES;kof2001;NO;kof2001;-;
cbusterj;Crude Buster (Japan FR revision 1);1990;Data East Corporation;YES;cbuster;NO;cbuster;-;
cbusterw;Crude Buster (World FU version);1990;Data East Corporation;YES;cbuster;NO;cbuster;-;
cbuster;Crude Buster (World FX version);1990;Data East Corporation;NO;-;YES;-;-;
cruisin;Cruisin;1985;Jaleco (Kitkorp license);YES;citycon;NO;citycon;-;
crushbl;Crush Roller (bootleg set 1);1981;bootleg;YES;crush;NO;crush;-;
crushbl2;Crush Roller (bootleg set 2);1981;bootleg;YES;crush;NO;crush;-;
crushbl3;Crush Roller (bootleg set 3);1981;bootleg;YES;crush;NO;crush;-;
crushs;Crush Roller (bootleg set 4);19??;bootleg (Sidam);YES;crush;NO;crush;-;
crush;Crush Roller (set 1);1981;Alpha Denshi Co. / Kural Samno Electric, Ltd.;NO;-;YES;-;-;
crush2;Crush Roller (set 2);1981;Alpha Denshi Co. / Kural Esco Electric, Ltd.;YES;crush;NO;crush;-;
crush3;Crush Roller (set 3);1981;Alpha Denshi Co. / Kural Electric, Ltd.;YES;crush;NO;crush;-;
crush4;Crush Roller (set 4);1981;Alpha Denshi Co. / Kural Electric, Ltd.;YES;crush;NO;crush;-;
crush5;Crush Roller (set 5);1981;Alpha Denshi Co. / Kural TWT;YES;crush;NO;crush;-;
crusherm;Crusher Makochan (Japan);1999;Takumi;NO;-;YES;-;-;
ccastlesj;Crystal Castles (joystick version);1983;Atari;YES;ccastles;NO;ccastles;-;
ccastles1;Crystal Castles (version 1);1983;Atari;YES;ccastles;NO;ccastles;-;
ccastles2;Crystal Castles (version 2);1983;Atari;YES;ccastles;NO;ccastles;-;
ccastles3;Crystal Castles (version 3);1983;Atari;YES;ccastles;NO;ccastles;-;
ccastlesf;Crystal Castles (version 3, French);1983;Atari;YES;ccastles;NO;ccastles;-;
ccastlesg;Crystal Castles (version 3, German);1983;Atari;YES;ccastles;NO;ccastles;-;
