name;description;year;manufacturer;is_parent;bios;sample
cprogolf;Tournament Pro Golf (DECO Cassette) (US);1981;Data East Corporation;NO;decocass;-
cpsoccer;Pro Soccer (DECO Cassette) (US);1983;Data East Corporation;NO;decocass;-
cptennis;Pro Tennis (DECO Cassette) (US);1982;Data East Corporation;NO;decocass;-
cracksht;Crackshot (version 2.0);1985;Exidy;NO;-;-
crashh;Crash (Pac-Man);2002;hack;NO;-;-
crazyfgt;Crazy Fight;1996;Subsino;NO;-;-
crazywar;Crazy War;2002;Eolith;NO;-;-
crbaloon;Crazy Balloon (set 1);1980;Taito Corporation;NO;-;-
crimec;Crime City (World);1989;Taito Corporation Japan;NO;-;-
crimfght;Crime Fighters (World 2 players);1989;Konami;NO;-;-
crkdown;Crack Down (World, Floppy Based, FD1094 317-0058-04c);1989;Sega;NO;-;-
croquis;Croquis (Korea);1996;Deniam;NO;-;-
crospang;Cross Pang;1998;F2 System;NO;-;-
crossbow;Crossbow (version 2.0);1983;Exidy;NO;-;-
crshrace;Lethal Crash Race (set 1);1993;Video System Co.;NO;-;-
crsword;Crossed Swords (ALM-002)(ALH-002);1991;Alpha Denshi Co.;NO;neogeo;-
crush;Crush Roller (set 1);1981;Alpha Denshi Co. / Kural Samno Electric, Ltd.;NO;-;-
crusherm;Crusher Makochan (Japan);1999;Takumi;NO;-;-
crzrally;Crazy Rally (set 1);1985;Tecfri;NO;-;-
csclub;Capcom Sports Club (971017 Euro);1997;Capcom;NO;-;-
cscrtry;Scrum Try (DECO Cassette) (US) (set 1);1984;Data East Corporation;NO;decocass;-
csdtenis;Super Doubles Tennis (DECO Cassette) (Japan);1983;Data East Corporation;NO;decocass;-
csilver;Captain Silver (World);1987;Data East Corporation;NO;-;-
cskater;Skater (DECO Cassette) (Japan);1983;Data East Corporation;NO;decocass;-
csuperas;Super Astro Fighter (DECO Cassette) (US);1981;Data East Corporation;NO;decocass;-
cterrani;Terranean (DECO Cassette) (US);1981;Data East Corporation;NO;decocass;-
ctisland;Treasure Island (DECO Cassette) (US) (set 1);1981;Data East Corporation;NO;decocass;-
ctomaday;Captain Tomaday;1999;Visco;NO;neogeo;-
ctornado;Tornado (DECO Cassette) (US);1982;Data East Corporation;NO;decocass;-
ctower;The Tower (DECO Cassette) (Europe?);1981;Data East Corporation;NO;decocass;-
ctribe;The Combatribes (US, rev 2, set 1);1990;Technos Japan;NO;-;-
ctsttape;Test Tape (DECO Cassette) (US);1981;Data East Corporation;NO;decocass;-
cubybop;Cuby Bop (location test);199?;Hot-B Co., Ltd.;NO;-;-
cuebrick;Cue Brick (World, version D);1989;Konami;NO;-;-
cultures;Jibun wo Migaku Culture School Mahjong Hen;1994;Face;NO;-;-
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);1993;Taito Corporation Japan;NO;-;-
curvebal;Curve Ball;1984;Mylstar;NO;-;-
cutefght;Cute Fighter;1998;SemiCom;NO;-;-
cutieq;Cutie Q;1979;Namco;NO;-;-
cworld;Capcom World (Japan);1990;Capcom;NO;-;-
cworld2j;Adventure Quiz Capcom World 2 (920611 Japan);1992;Capcom;NO;-;-
cybattlr;Cybattler;1993;Jaleco;NO;-;-
cyberlip;Cyber-Lip (NGM-010);1990;SNK;NO;neogeo;-
cybertnk;Cyber Tank (v1.4);1988;Coreland;NO;-;-
cybots;Cyberbots - fullmetal madness (950424 Euro);1995;Capcom;NO;-;-
cyclemb;Cycle Maabou (Japan);1984;Taito Corporation;NO;-;-
cyclshtg;Cycle Shooting;1986;Taito;NO;-;-
cyvern;Cyvern (US);1998;Kaneko;NO;skns;-
czeroize;Zeroize (DECO Cassette) (US);1983;Data East Corporation;NO;decocass;-
dacholer;Dacholer;1983;Nichibutsu;NO;-;-
daikaiju;Daikaiju no Gyakushu;1986;Taito;NO;-;-
daioh;Daioh;1993;Athena;NO;-;-
daitorid;Daitoride;1995;Metro;NO;-;-
dambustr;Dambusters (US, set 1);1981;South West Research;NO;-;-
dangar;Ufo Robo Dangar (4/07/1987);1986;Nichibutsu;NO;-;-
dangseed;Dangerous Seed (Japan);1989;Namco;NO;-;-
dankuga;Dan-Ku-Ga (Ver 0.0J 1994/12/13) (Prototype);1994;Taito Corporation;NO;-;-
daraku;The Fallen Angels (World) / Daraku Tenshi - The Fallen Angels (Japan);1998;Psikyo;NO;-;-
darius;Darius (World);1986;Taito Corporation Japan;NO;-;-
darius2;Darius II (triple screen) (Japan);1989;Taito Corporation;NO;-;-
dariusg;Darius Gaiden - Silver Hawk (Ver 2.5O 1994/09/19);1994;Taito Corporation Japan;NO;-;-
dariusgx;Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack);1994;Taito Corporation;NO;-;-
darkedge;Dark Edge (World);1992;Sega;NO;-;-
darkmist;The Lost Castle In Darkmist;1986;Taito Corporation;NO;-;-
darkplnt;Dark Planet;1982;Stern;NO;-;-
darkseal;Dark Seal (World revision 3);1990;Data East Corporation;NO;-;-
darktowr;Dark Tower;1992;Game Room;NO;-;-
darwin;Darwin 4078 (Japan);1986;Data East Corporation;NO;-;-
dblaxle;Double Axle (US, Rev 1);1991;Taito America Corporation;NO;-;-
dbldynj;The Double Dynamites (Japan, 13NOV89);1989;Seibu Kaihatsu;NO;-;-
dblewing;Double Wings (set 1);1993;Mitchell;NO;-;-
dblpoint;Double Point;1995;Min Corp.;NO;-;-
dbreed;Dragon Breed (World, M81 hardware);1989;Irem;NO;-;-
dbz;Dragonball Z (rev B);1993;Banpresto;NO;-;-
dbz2;Dragonball Z 2 - Super Battle;1994;Banpresto;NO;-;-
dbzvrvs;Dragon Ball Z V.R.V.S. (Japan, Rev A);1994;Sega / Banpresto;NO;-;-
dcclub;Dynamic Country Club (World, ROM Based);1991;Sega;NO;-;-
dcon;D-Con;1992;Success;NO;-;-
dday;D-Day;1982;Olympia;NO;-;-
ddayjlc;D-Day (Jaleco set 1);1984;Jaleco;NO;-;-
ddcrew;D. D. Crew (set 4, World, 3 Players, FD1094 317-0190);1991;Sega;NO;-;-
dderby;Death Derby;2003;David Widel;NO;-;-
ddonpach;DoDonPachi (International, master ver. 97/02/05);1997;Atlus / Cave;NO;-;-
ddp2;Bee Storm - DoDonPachi II (V102, World);2001;IGS;NO;pgm;-
ddp3;DoDonPachi III (World, 2002.05.15 Master Ver);2002;Cave (AMI license);NO;-;-
ddpdfk;DoDonPachi Dai-Fukkatsu Ver 1.5 (2008/06/23 MASTER VER 1.5);2008;Cave (AMI license);NO;-;-
ddpsdoj;DoDonPachi SaiDaiOuJou (2012/ 4/20);2012;Cave;NO;-;-
ddragon;Double Dragon (Japan);1987;Technos;NO;-;-
ddragon2;Double Dragon II - The Revenge (World);1988;Technos Japan;NO;-;-
ddragon3;Double Dragon 3 - The Rosetta Stone (US);1990;Technos Japan;NO;-;-
ddribble;Double Dribble;1986;Konami;NO;-;-
ddsom;Dungeons & Dragons - shadow over mystara (960619 Euro);1996;Capcom;NO;-;-
ddtod;Dungeons & Dragons - tower of doom (940412 Euro);1994;Capcom;NO;-;-
ddux;Dynamite Dux (set 2, FD1094 317-0096);1989;Sega;NO;-;-
deadang;Dead Angle;1988;Seibu Kaihatsu;NO;-;-
deadconx;Dead Connection (World);1992;Taito Corporation Japan;NO;-;-
dealer;The Dealer;198?;Epos Corporation;NO;-;-
deathsml;Deathsmiles (2007/10/09 MASTER VER);2007;Cave (AMI license);NO;-;-
decocass;DECO Cassette System Bios;1981;Data East;NO;-;-
deerhunt;Deer Hunting USA V4.3;2000;Sammy USA Corporation;NO;-;-
defender;Defender (Red label);1980;Williams;NO;-;-
deluxe5;Deluxe 5 (ver. 0107, 07/01/2000, set 1);2000;ESD;NO;-;-
demoderb;Demolition Derby;1984;Bally Midway;NO;-;-
demonwld;Demon's World / Horror Story (set 1);1990;Toaplan;NO;-;-
denjinmk;Denjin Makai (set 1);1994;Winkysoft (Banpresto license);NO;-;-
deroon;Deroon DeroDero;1995;Tecmo;NO;-;-
desertbr;Desert Breaker (World, FD1094 317-0196);1992;Sega;NO;-;-
desertdn;Desert Dan;1982;Video Optics;NO;-;-
desertwr;Desert War / Wangan Sensou (ver 1.0);1995;Jaleco;NO;-;-
devilfsh;Devil Fish (Scramble hardware);1982;Artic;NO;-;-
devilw;Devil World;1987;Konami;NO;-;-
devstors;Devastators (ver. Z);1988;Konami;NO;-;-
dfkbl;DoDonPachi Dai-Fukkatsu Black Label (2010/1/18 BLACK LABEL);2010;Cave;NO;-;-
dharma;Dharma Doujou;1994;Metro;NO;-;-
diamond;Diamond Run;1985;KH Video;NO;-;-
dietgo;Diet Go Go (Euro v1.1 1992.09.26 V3);1992;Data East Corporation;NO;-;-
digdug;Dig Dug (rev 2);1982;Namco;NO;-;-
digdug2;Dig Dug II (New Ver.);1985;Namco;NO;-;-
diggerma;Digger Man;2000;Kyle Hodgetts;NO;neogeo;-
dimahoo;Dimahoo (000121 Euro);2000;8ing / Raizing / Capcom;NO;-;-
dingo;Dingo;1983;Ashby Computers and Graphics LTD. (Jaleco license);NO;-;-
dino;Cadillacs & Dinosaurs (930201 World);1993;Capcom;NO;-;-
dinorex;Dino Rex (World);1992;Taito Corporation Japan;NO;-;-
dirtfoxj;Dirt Fox (Japan);1989;Namco;NO;-;-
disco;Disco No.1;1982;Data East;NO;-;-
discoboy;Disco Boy;1993;Soft Art Co.;NO;-;-
divebomb;Kyuukoukabakugekitai - Dive Bomber Squad (Japan, prototype);1989;Konami;NO;-;-
diverboy;Diver Boy;1992;Electronic Devices Italy;NO;-;-
djboy;DJ Boy (World);1989;Kaneko;NO;-;-
dkong;Donkey Kong (US set 1);1981;Nintendo of America;NO;-;-
dkong3;Donkey Kong 3 (US);1983;Nintendo of America;NO;-;-
dkongjr;Donkey Kong Junior (US set F-2);1982;Nintendo of America;NO;-;-
dleague;Dynamite League (US);1990;Taito America Corporation;NO;-;-
dmnfrnt;Demon Front (M105XX, S105XX);2002;IGS;NO;pgm;-
docastle;Mr. Do's Castle (set 1);1983;Universal;NO;-;-
dockman;Dock Man;1982;Taito Corporation;NO;-;-
dodgeman;Dodge Man;1983;Omori Electric Co., Ltd.;NO;-;-
dogfgt;Acrobatic Dog-Fight;1984;Technos Japan;NO;-;-
dogfight;Dog Fight (Thunderbolt);1983;Orca / Thunderbolt;NO;-;-
dogyuun;Dogyuun;1992;Toaplan;NO;-;-
dokaben;Dokaben (Japan);1989;Capcom;NO;-;-
dokaben2;Dokaben 2 (Japan);1989;Capcom;NO;-;-
dolmen;Dolmen;1995;Afega;NO;-;-
domino;Domino Man;1982;Bally Midway;NO;midssio;-
dommy;Dommy;198?;Technos;NO;-;-
dondokod;Don Doko Don (World);1989;Taito Corporation Japan;NO;-;-
donpachi;DonPachi (USA, ver. 1.12, 95/05/2x);1995;Atlus / Cave;NO;-;-
dorachan;Dora-chan (Japan);1980;Alpha Denshi Co. / Craul Denshi;NO;-;-
dorodon;Dorodon (set 1);1982;Falcon;NO;-;-
dorunrun;Do! Run Run (set 1);1984;Universal;NO;-;-
dotrikun;Dottori Kun (new version);1990;Sega;NO;-;-
dotron;Discs of Tron (Upright, 10/4/83);1983;Bally Midway;NO;midssio;-
doubledr;Double Dragon (Neo-Geo);1995;Technos;NO;neogeo;-
dowild;Mr. Do's Wild Ride;1984;Universal;NO;-;-
downtown;DownTown / Mokugeki (Set 1);1989;Seta;NO;-;-
dquizgo;Date Quiz Go Go (Korea);1998;SemiCom;NO;-;-
dquizgo2;Date Quiz Go Go Episode 2;2000;SemiCom;NO;-;-
dragnblz;Dragon Blaze;2000;Psikyo;NO;-;-
dragngun;Dragon Gun (US);1993;Data East Corporation;NO;-;-
dragonsh;Dragon's Heaven (development board);1996;Face;NO;neogeo;-
drakton;Drakton (DK conversion);1984;Epos Corporation;NO;-;-
dreambal;Dream Ball (Japan V2.4);1993;NDK / Data East;NO;-;-
dreamwld;Dream World;2000;SemiCom;NO;-;-
dremshpr;Dream Shopper;1982;Sanritsu;NO;-;-
drgnbowl;Dragon Bowl;1992;Nics;NO;-;-
drgnbstr;Dragon Buster;1984;Namco;NO;-;-
drgnmst;Dragon Master (set 1);1994;Unico;NO;-;-
drgnunit;Dragon Unit / Castle of Dragon;1989;Seta;NO;-;-
drgw2;Dragon World II (V110X, World);1997;IGS;NO;pgm;-
drgw3;Dragon World 3 (V106, China);1998;IGS;NO;pgm;-
dribling;Dribbling;1983;Model Racing;NO;-;-
drifto94;Drift Out '94 - The Hard Order (Japan);1994;Visco;NO;-;-
driftout;Drift Out (Europe);1991;Visco (Europe);NO;-;-
drivfrcp;Driving Force (Pac-Man conversion);1984;Shinkai Inc. (Magic Eletronics Inc. license);NO;-;-
drmicro;Dr. Micro;1983;Sanritsu;NO;-;-
drtomy;Dr. Tomy;1993;Playmark;NO;-;-
drtoppel;Dr. Toppel's Adventure (World);1987;Taito Corporation Japan;NO;-;-
dsaber;Dragon Saber (World, DO2);1990;Namco;NO;-;-
dsmbl;Deathsmiles MegaBlack Label (2008/10/06 MEGABLACK LABEL VER);2008;Cave (AMI license);NO;-;-
dsoccr94;Dream Soccer '94 (World, M107 hardware);1994;Irem (Data East Corporation license);NO;-;-
dspirit;Dragon Spirit (new version (DS3));1987;Namco;NO;-;-
dstlk;Darkstalkers - the night warriors (940705 Euro);1994;Capcom;NO;-;-
dtfamily;Diet Family;2001;SemiCom;NO;-;-
dunkshot;Dunk Shot (Rev C, FD1089 317-0022);1987;Sega;NO;-;-
dw2001;Dragon World 2001 (V100, Japan);2001;IGS (Alta Co., LTD License);NO;pgm;-
dwex;Dragon World 3 EX (V100, World);1998;IGS;NO;pgm;-
dwpc;Dragon World Pretty Chance (V110, China);2001;IGS;NO;pgm;-
dyger;Dyger (Korea set 1);1989;Philko;NO;-;-
dynablst;Dynablaster / Bomber Man;1991;Irem (licensed from Hudson Soft);NO;-;-
dynabomb;Dynamite Bomber (Korea, Rev 1.5);2000;Limenko;NO;-;-
dynagear;Dyna Gear;1993;Sammy;NO;-;-
dynamski;Dynamic Ski;1984;Taiyo;NO;-;-
dynduke;Dynamite Duke (Europe, 03SEP89);1989;Seibu Kaihatsu;NO;-;-
dynwar;Dynasty Wars (US set 1);1989;Capcom;NO;-;-
eaglshot;Eagle Shot Golf (US);1994;Sammy;NO;-;-
earthjkr;U.N. Defense Force: Earth Joker (US / Japan, set 1);1993;Visco;NO;-;-
ecofghtr;Eco Fighters (931203 etc);1993;Capcom;NO;-;-
edf;E.D.F. : Earth Defense Force (set 1);1991;Jaleco;NO;-;-
edrandy;The Cliffhanger - Edward Randy (World ver 3);1990;Data East Corporation;NO;-;-
eeekk;Eeekk!;1983;Epos Corporation;NO;-;-
efdt;El Fin Del Tiempo;1981;Niemer;NO;-;-
egghunt;Egg Hunt;1995;Invi Image;NO;-;-
eggor;Eggor;1982;Telko;NO;-;-
eightfrc;Eight Forces;1994;Tecmo;NO;-;-
eightman;Eight Man (NGM-025)(NGH-025);1991;SNK / Pallas;NO;neogeo;-
ejanhs;E Jong High School (Japan);1996;Seibu Kaihatsu;NO;-;-
ejsakura;E-Jan Sakurasou (Japan, SYS386F V2.0);1999;Seibu Kaihatsu;NO;-;-
elecyoyo;The Electric Yo-Yo (set 1);1982;Taito America Corporation;NO;-;-
elevator;Elevator Action (BA3, 4 pcb version, 1.1);1983;Taito Corporation;NO;-;-
elim2;Eliminator (2 Players, set 1);1981;Gremlin;NO;-;-
elvactr;Elevator Action Returns (Ver 2.2O 1995/02/20);1994;Taito Corporation Japan;NO;-;-
emeralda;Emeraldia (World);1993;Namco;NO;namcoc70;-
enduror;Enduro Racer (Rev A, YM2151, FD1089B 317-0013A);1986;Sega;NO;-;-
enforce;Enforce (World);1988;Taito Corporation Japan;NO;-;-
enmadaio;Enma Daio (Japan);1993;Toaplan / Taito;NO;-;-
eprom;Escape from the Planet of the Robot Monsters (set 1);1989;Atari Games;NO;-;-
esb;The Empire Strikes Back;1985;Atari Games;NO;-;-
esckids;Escape Kids (Asia, 4 Players);1991;Konami;NO;-;-
espgal;Espgaluda (Japan, 2003/10/15 Master Ver);2003;CAVE / AMI;NO;-;-
espgal2;Espgaluda II (2005/11/14 MASTER VER, newer CV1000-B PCB);2005;Cave (AMI license);NO;-;-
espial;Espial (Europe);1983;Orca / Thunderbolt;NO;-;-
esprade;ESP Ra.De. - A.D.2018 Tokyo (International, ver. 98/04/22);1998;Atlus / Cave;NO;-;-
eswat;E-Swat - Cyber Police (set 4, World, FD1094 317-0130);1989;Sega;NO;-;-
eto;Kokontouzai Eto Monogatari (Japan);1994;Visco;NO;-;-
euroch92;Euro Champ '92 (World);1992;Taito Corporation Japan;NO;-;-
evilston;Evil Stone;1990;Spacy Industrial, Ltd.;NO;-;-
excelsr;Excelsior (set 1);1996;Playmark;NO;-;-
exctleag;Excite League (FD1094 317-0079);1989;Sega;NO;-;-
exedexes;Exed Exes;1985;Capcom;NO;-;-
exerion;Exerion;1983;Jaleco;NO;-;-
explbrkr;Explosive Breaker (World);1992;Kaneko;NO;-;-
exprraid;Express Raider (World, Rev 4);1986;Data East Corporation;NO;-;-
extdwnhl;Extreme Downhill (v1.5);1995;Sammy Industries Japan;NO;-;-
exterm;Exterminator;1989;Gottlieb / Premier Technology;NO;-;-
extrmatn;Extermination (World);1987;Taito Corporation Japan;NO;-;-
exvania;Exvania (World);1992;Namco;NO;namcoc69;-
exzisus;Exzisus (Japan, dedicated);1987;Taito Corporation;NO;-;-
eyes;Eyes (Digitrex Techstar);1982;Digitrex Techstar (Rock-ola license);NO;-;-
f1dream;F-1 Dream;1988;Capcom (Romstar license);NO;-;-
f1en;F1 Exhaust Note (World, Rev A);1991;Sega;NO;-;-
f1gp;F-1 Grand Prix (set 1);1991;Video System Co.;NO;-;-
f1gp2;F-1 Grand Prix Part II;1992;Video System Co.;NO;-;-
f1gpstar;Grand Prix Star (ver 4.0);1992;Jaleco;NO;-;-
f1gpstr2;F-1 Grand Prix Star II;1993;Jaleco;NO;-;-
f1lap;F1 Super Lap (World);1993;Sega;NO;-;-
faceoff;Face Off (Japan 2 Players);1988;Namco;NO;-;-
fantasia;Fantasia (940429 PCB, set 1);1994;Comad / New Japan System;NO;-;-
fantasyu;Fantasy (US);1981;SNK (Rock-Ola license);NO;-;fantasy
fantland;Fantasy Land (set 1);19??;Electronic Devices Italy;NO;-;-
fantsia2;Fantasia II (Explicit);1997;Comad;NO;-;-
fantzn2;Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0057);1988;Sega;NO;-;-
fantzn2x;Fantasy Zone II - The Tears of Opa-Opa (System 16C);2008;Sega / M2;NO;-;-
fantzone;Fantasy Zone (Rev A, unprotected);1986;Sega;NO;-;-
fastlane;Fast Lane;1987;Konami;NO;-;-
fatfursp;Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058);1993;SNK;NO;neogeo;-
fatfury1;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033);1992;SNK;NO;neogeo;-
fatfury2;Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047);1992;SNK;NO;neogeo;-
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069);1995;SNK;NO;neogeo;-
fball;Fire Ball (FM Work);1992;FM Work;NO;-;-
fbfrenzy;Football Frenzy (NGM-034)(NGH-034);1992;SNK;NO;neogeo;-
fcombat;Field Combat;1985;Jaleco;NO;-;-
feversos;Fever SOS (International, ver. 98/09/25);1998;Cave / Nihon System inc.;NO;-;-
ffight;Final Fight (World, set 1);1989;Capcom;NO;-;-
fghtatck;Fighter & Attacker (US);1992;Namco;NO;namcoc69;-
fghtbskt;Fighting Basketball;1984;Paradise Co. Ltd.;NO;-;-
fghthist;Fighter's History (World ver 43-09, DE-0395-1 PCB);1993;Data East Corporation;NO;-;-
fhawk;Fighting Hawk (World);1988;Taito Corporation Japan;NO;-;-
fightfev;Fight Fever (set 1);1994;Viccom;NO;neogeo;-
fightrol;Fighting Roller;1983;Kaneko (Taito license);NO;-;-
finalap2;Final Lap 2;1990;Namco;NO;-;-
finalap3;Final Lap 3 (World, set 1);1992;Namco;NO;-;-
finalb;Final Blow (World);1988;Taito Corporation Japan;NO;-;-
finalgdr;Final Godori (Korea, version 2.20.5915);2001;SemiCom;NO;-;-
finalizr;Finalizer - Super Transformation (set 1);1985;Konami;NO;-;-
finallap;Final Lap (Rev E);1987;Namco;NO;-;-
finalttr;Final Tetris;1993;Jeil Computer System;NO;-;-
finehour;Finest Hour (Japan);1989;Namco;NO;-;-
firebatl;Fire Battle;1984;Wood Place Inc. (Taito license);NO;-;-
firebeas;Firebeast (prototype);1983;Atari;NO;-;-
fireshrk;Fire Shark;1990;Toaplan;NO;-;-
firetrap;Fire Trap (US, rev A);1986;Wood Place Inc. (Data East USA license);NO;-;-
fitegolf;Lee Trevino's Fighting Golf (World?);1988;SNK;NO;-;-
fixeight;FixEight (Europe);1992;Toaplan;NO;-;-
flagrall;'96 Flag Rally;1996;unknown;NO;-;-
flashgal;Flashgal (set 1);1985;Kyugo / Sega;NO;-;-
flicky;Flicky (128k Version, 315-5051);1984;Sega;NO;-;-
flipjack;Flipper Jack;1983;Jackson Co., Ltd.;NO;-;-
flipshot;Battle Flip Shot;1998;Visco;NO;neogeo;-
flower;Flower (US);1986;Clarue (Komax license);NO;-;-
flstory;The FairyLand Story;1985;Taito;NO;-;-
flyboy;Fly-Boy;1982;Kaneko;NO;-;-
flytiger;Flying Tiger (set 1);1992;Dooyong;NO;-;-
fncywld;Fancy World - Earth of Crisis;1996;Unico;NO;-;-
fnkyfish;Funky Fish;1981;Sun Electronics;NO;-;-
foodf;Food Fight (rev 3);1982;General Computer Corporation (Atari license);NO;-;-
footchmp;Football Champ (World);1990;Taito Corporation Japan;NO;-;-
forgottn;Forgotten Worlds (World, newer);1988;Capcom;NO;-;-
formatz;Formation Z;1984;Jaleco;NO;-;-
fort2b;Fortress 2 Blue Arcade (World) (ver 1.01 / pcb ver 3.05);2001;Eolith;NO;-;-
fourtrax;Four Trax (World);1989;Namco;NO;-;-
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);1989;Sega;NO;-;-
freekick;Free Kick (NS6201-A 1987.10);1987;Nihon System (Merit license);NO;-;-
freeze;Freeze;1984;Cinematronics;NO;-;-
frenzy;Frenzy (revision RA1);1981;Stern Electronics;NO;-;-
friskyt;Frisky Tom (set 1);1981;Nichibutsu;NO;-;-
frogger;Frogger;1981;Konami;NO;-;-
froman2b;Idol Mahjong - final romance 2 (Neo CD Conversion);1995;hack;NO;neogeo;-
frontlin;Front Line (set 1);1982;Taito Corporation;NO;-;-
fround;The Final Round (ver. M);1988;Konami;NO;-;-
fshark;Flying Shark (World);1987;Toaplan / Taito Corporation;NO;-;-
fsoccer;Fighting Soccer (version 4);1988;SNK;NO;-;-
fstarfrc;Final Star Force (US);1992;Tecmo;NO;-;-
funkybee;Funky Bee;1982;Orca;NO;-;-
funkyjet;Funky Jet (World, rev 1);1992;Mitchell;NO;-;-
funybubl;Funny Bubble;1999;In Chang Electronic Co;NO;-;-
futari15;Mushihime-Sama Futari Ver 1.5 (2006/12/8.MASTER VER. 1.54.);2006;Cave (AMI license);NO;-;-
futaribl;Mushihime-Sama Futari Black Label - Another Ver (2009/11/27 INTERNATIONAL BL);2007;Cave (AMI license);NO;-;-
futspy;Future Spy;1984;Sega;NO;-;zaxxon
ga2;Golden Axe: The Revenge of Death Adder (World, Rev B);1992;Sega;NO;-;-
gaia;Gaia Crusaders;1999;Noise Factory;NO;-;-
gaialast;Gaia - The Last Choice of Earth;1999;SemiCom / XESS;NO;-;-
gaiapols;Gaiapolis (ver EAF);1993;Konami;NO;-;-
galaga;Galaga (Namco rev. B);1981;Namco;NO;-;-
galaga88;Galaga '88;1987;Namco;NO;-;-
galastrm;Galactic Storm (Japan);1992;Taito Corporation;NO;-;-
galaxian;Galaxian (Namco set 1);1979;Namco;NO;-;-
galaxyfg;Galaxy Fight - Universal Warriors;1995;Sunsoft;NO;neogeo;-
galaxygn;Galaxy Gunners;1989;Electronic Devices Italy;NO;-;-
galivan;Cosmo Police Galivan (12/26/1985);1985;Nichibutsu;NO;-;-
galmedes;Galmedes (Japan);1992;Visco;NO;-;-
galpani3;Gals Panic 3 (Euro);1995;Kaneko;NO;-;-
galpani4;Gals Panic 4 (Europe);1996;Kaneko;NO;skns;-
galpanic;Gals Panic (Unprotected);1990;Kaneko;NO;-;-
galpanis;Gals Panic S - Extra Edition (Europe, revision 1);1997;Kaneko;NO;skns;-
galpans2;Gals Panic S2 (Europe);1999;Kaneko;NO;skns;-
galpans3;Gals Panic S3 (Japan);2002;Kaneko;NO;skns;-
galspnbl;Gals Pinball;1996;Comad;NO;-;-
gametngk;The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise (ver 1.0);1995;Jaleco;NO;-;-
ganbare;Ganbare! Marine Kun (Marine 2K0411 JPN);2000;Capcom;NO;-;-
gangwars;Gang Wars;1989;Alpha Denshi Co.;NO;-;-
ganryu;Ganryu / Musashi Ganryuki;1999;Visco;NO;neogeo;-
gaplus;Gaplus (GP2 rev. B);1984;Namco;NO;-;-
gardia;Gardia (317-0006);1986;Coreland / Sega;NO;-;-
garogun;Garogun Seroyang (Korea);2000;Yun Sung;NO;-;-
garou;Garou - Mark of the Wolves (NGM-2530);1999;SNK;NO;neogeo;-
garyoret;Garyo Retsuden (Japan);1987;Data East Corporation;NO;-;-
gaunt2;Gauntlet II;1986;Atari Games;NO;-;-
gauntlet;Gauntlet (rev 14);1985;Atari Games;NO;-;-
gberet;Green Beret;1985;Konami;NO;-;-
gbusters;Gang Busters (set 1);1988;Konami;NO;-;-
gdfs;Mobil Suit Gundam Final Shooting (Japan);1995;Banpresto;NO;-;-
geebee;Gee Bee (Japan);1978;Namco;NO;-;-
gekiridn;Gekirindan (Ver 2.3O 1995/09/21);1995;Taito Corporation;NO;-;-
gemini;Gemini Wing (World);1987;Tecmo;NO;-;-
genix;Genix Family;1994;NIX;NO;-;-
genpeitd;Genpei ToumaDen;1986;Namco;NO;-;-
gfire2;Golden Fire II;1992;Topis Corp;NO;-;-
gforce2;Galaxy Force 2;1988;Sega;NO;-;-
gground;Gain Ground (World, 3 Players, Floppy Based, FD1094 317-0058-03d Rev A);1988;Sega;NO;-;-
ghostb;The Real Ghostbusters (US 2 Players, revision 2);1987;Data East USA;NO;-;-
ghostlop;Ghostlop (prototype);1996;Data East Corporation;NO;neogeo;-
ghouls;Ghouls'n Ghosts (World);1988;Capcom;NO;-;-
ghox;Ghox (spinner);1991;Toaplan;NO;-;-
gigandes;Gigandes;1989;East Technology;NO;-;-
gigas;Gigas (MC-8123, 317-5002);1986;SEGA;NO;-;-
gigasm2;Gigas Mark II (MC-8123, 317-5002);1986;SEGA;NO;-;-
gigawing;Giga Wing (990222 USA);1999;Takumi (Capcom license);NO;-;-
gijoe;G.I. Joe (World, EAB, set 1);1992;Konami;NO;-;-
ginganin;Ginga NinkyouDen (set 1);1987;Jaleco;NO;-;-
ginkun;Ganbare Ginkun;1995;Tecmo;NO;-;-
gladiatr;Gladiator (US);1986;Allumer / Taito America Corporation;NO;-;-
glass;Glass (Ver 1.1, Break Edition, Version 1994);1994;OMK / Gaelco;NO;-;-
gloc;G-LOC Air Battle (World);1990;Sega;NO;-;-
gnbarich;Gunbarich;2001;Psikyo;NO;-;-
gng;Ghosts'n Goblins (World? set 1);1985;Capcom;NO;-;-
go2000;Go 2000;2000;SunA?;NO;-;-
goalx3;Goal! Goal! Goal!;1995;Visco;NO;neogeo;-
godzilla;Godzilla (Japan);1993;Banpresto;NO;-;-
